STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT22
CO,2008-01-01,-13.089689265536723,0.352283105022831,55.55873115004925,-21.46348314606741,-4.755898876404494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2008-01-02,-8.634027777777778,0.2836302895322939,55.99760703720513,-17.132963988919666,-0.1220385674931129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CO,2008-01-03,-5.00633608815427,0.1163175303197354,54.51720586562836,-12.428374655647383,2.4304945054945057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2008-01-04,-1.4950413223140495,0.206858407079646,65.0622282830326,-7.043250688705234,4.053168044077135,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2008-01-05,0.1619834710743802,2.7539576365663323,67.45346232392946,-4.64435261707989,4.96831955922865,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
CO,2008-01-06,-1.586401098901099,5.423260869565217,77.10362239526826,-6.280494505494505,3.107692307692308,19.0,11.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0
CO,2008-01-07,-5.321917808219178,2.229321663019693,77.73129231176114,-10.567123287671231,-0.0767123287671232,23.0,6.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,6.0,1.0,5.0
CO,2008-01-08,-8.303142076502732,2.6451680672268907,73.47861741417002,-15.208196721311475,-1.398087431693989,12.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
CO,2008-01-09,-6.6431506849315065,1.3386509635974304,75.82574898453313,-11.974794520547944,-1.3115068493150686,20.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,6.0,0.0,3.0
CO,2008-01-10,-7.971934604904631,1.284768907563025,75.79548272877797,-14.577929155313353,-1.3659400544959128,9.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO,2008-01-11,-6.864246575342465,0.8738095238095238,69.43612542045454,-12.436065573770492,-1.2827397260273972,13.0,5.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
CO,2008-01-12,-7.020083102493075,0.5015334063526834,69.55340681772458,-13.410803324099724,-0.6,9.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO,2008-01-13,-7.886126373626374,0.1475717439293598,69.06083180457648,-14.854120879120876,-0.918131868131868,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2008-01-14,-7.366804407713499,0.1079868708971553,67.51115869762722,-14.982093663911844,0.2484848484848485,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2008-01-15,-7.127134986225896,0.0568927789934354,60.50009477048561,-15.659228650137742,1.4597260273972603,10.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CO,2008-01-16,-12.74764542936288,0.8194623655913978,67.55794138760334,-20.260220994475137,-5.314600550964188,13.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0
CO,2008-01-17,-16.65400552486188,0.3386462882096069,65.11786019780567,-24.117955801104973,-9.190934065934066,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CO,2008-01-18,-14.048342541436464,0.2066815144766147,69.66659054038436,-20.553168044077136,-7.562534435261708,17.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0
