state_alpha,state_name,year,region,week_ending,tmax,tmin,tavg,prcp_sum,prcp_mean,rh
IN,INDIANA,2006,Temperate Humid,2006-12-24,9.586468157774801,0.4443917972658181,5.0148799489669145,34.47613886547745,4.925162695068208,81.74262440263428
IN,INDIANA,2006,Temperate Humid,2006-12-31,8.454326589510263,0.5028285287426881,4.4833455806297176,27.29603226120809,3.899433180172584,77.59973920617257
IN,INDIANA,2007,Temperate Humid,2007-01-07,9.670218265594782,0.9167392606972068,5.293478763145994,36.19732215195856,5.171046021708365,83.08813224244008
IN,INDIANA,2007,Temperate Humid,2007-01-14,6.424361659489564,-0.663595331253242,2.880383164118161,42.09338586272463,6.01334083753209,73.16514443513404
IN,INDIANA,2007,Temperate Humid,2007-01-21,1.9845845039314427,-5.845606266749123,-1.9347865683069767,38.847176028053866,5.549596575436267,76.79494635839065
IN,INDIANA,2007,Temperate Humid,2007-01-28,1.3932802367700325,-6.12996640247115,-2.367887637306005,3.427577771562491,0.48965396736607014,75.86190126946039
IN,INDIANA,2007,Temperate Humid,2007-02-04,-4.9763009577925725,-13.546492913431285,-9.253290344923704,2.4982945521689555,0.3568992217384222,67.80854606167301
IN,INDIANA,2007,Temperate Humid,2007-02-11,-8.34598377359602,-17.845905233088907,-13.095944503342462,5.265881116566045,0.7522687309380064,61.943409114387585
IN,INDIANA,2007,Temperate Humid,2007-02-18,-3.2433349630475656,-13.370080884587512,-8.308990752100367,33.78445876751935,4.826351252502763,73.0622686025106
IN,INDIANA,2007,Temperate Humid,2007-02-25,5.397738458140616,-5.6564776555401455,-0.12618690793028794,23.254588009323385,3.322084001331912,72.5480879895223
IN,INDIANA,2007,Temperate Humid,2007-03-04,5.095853471030701,-3.032287833451904,1.0317828187893978,11.93677350270491,1.7052533575292728,73.51079367881698
IN,INDIANA,2007,Temperate Humid,2007-03-11,8.301338251317842,-5.244070824866744,1.5313709986158965,1.2189298276388392,0.17413283251983416,59.619902485719614
IN,INDIANA,2007,Temperate Humid,2007-03-18,14.099624819264108,0.37358923239262687,7.22870913426289,25.915339280476623,3.702191325782375,61.10962023732236
IN,INDIANA,2007,Temperate Humid,2007-03-25,17.77017799276069,6.582177147572415,12.176177570166553,45.28777814019649,6.469682591456641,71.48732549390058
IN,INDIANA,2007,Temperate Humid,2007-04-01,22.879138784226562,10.882428049013098,16.880783416619828,23.39781648939644,3.34254521277092,64.13490889287156
IN,INDIANA,2007,Temperate Humid,2007-04-08,10.5292303387963,0.10029709220412121,5.318281105054292,15.017624266734567,2.1453748952477953,60.67614289417757
IN,INDIANA,2007,Temperate Humid,2007-04-15,9.265838336872767,-0.6557185998113557,4.305059868530706,36.545186613437274,5.220740944776753,65.77264033394466
IN,INDIANA,2007,Temperate Humid,2007-04-22,18.68368308376893,3.421174613677607,11.055723449905084,1.7739600311197443,0.2534228615885349,50.77622782426838
IN,INDIANA,2007,Temperate Humid,2007-04-29,21.98766956324832,9.956685784438601,15.97082333210677,46.60750459989066,6.658214942841523,67.90630286297407
IN,INDIANA,2007,Temperate Humid,2007-05-06,24.644175215000494,11.938895203806094,18.29235506407784,8.913237813315456,1.2733196876164938,57.62284968927077
IN,INDIANA,2007,Temperate Humid,2007-05-13,26.929965947906744,11.659698938832738,19.294357555329107,6.478426853846297,0.9254895505494709,55.28595854801631
IN,INDIANA,2007,Temperate Humid,2007-05-20,23.170387381595305,8.083694483734089,15.622874487448744,13.914852139022802,1.9878360198604004,52.32308130304683
IN,INDIANA,2007,Temperate Humid,2007-05-27,28.347773523896723,14.145834567370303,21.247944073922053,15.083405102328783,2.1547721574755405,57.207680181886225
IN,INDIANA,2007,Temperate Humid,2007-06-03,29.553539872206052,17.003444078550796,23.276782171036732,10.14835048806782,1.44976435543826,63.261207006010395
IN,INDIANA,2007,Temperate Humid,2007-06-10,26.677924575449975,13.40262093052272,20.042342059917043,14.657108853683283,2.093872693383326,59.98593197464903
IN,INDIANA,2007,Temperate Humid,2007-06-17,31.085459670709337,15.501715840388702,23.29219487154901,1.0898008359117561,0.15568583370167946,48.85345677836659
IN,INDIANA,2007,Temperate Humid,2007-06-24,28.548357127047503,16.244755562388615,22.396556344718057,37.81710460571324,5.402443515101892,63.17559406338444
