STATE,DATE,PRCP,RH,TMAX,TAVG,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
IN,2005-01-01,1.839864864864865,85.01862097010448,13.504347826086958,9.276630434782607,5.048913043478261,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
IN,2005-01-02,5.716891891891892,92.77382514179912,13.335416666666667,9.644791666666666,5.954166666666667,31.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
IN,2005-01-03,22.526666666666667,94.64169914986704,13.397916666666667,10.214583333333334,7.03125,23.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
IN,2005-01-04,20.973509933774835,93.38624416613546,9.634343434343434,6.744387755102041,3.9316326530612247,19.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0
IN,2005-01-05,27.931578947368426,92.09366142478,6.418556701030928,3.757731958762887,1.0969072164948457,13.0,0.0,1.0,10.0,1.0,15.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0
IN,2005-01-06,27.420529801324506,87.76177878854719,2.6189473684210527,0.1468421052631579,-2.325263157894737,6.0,0.0,0.0,10.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0
IN,2005-01-07,0.8387755102040816,81.42924103285158,0.3136842105263158,-2.2389473684210524,-4.7915789473684205,4.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
IN,2005-01-08,7.810204081632652,90.33241560146584,0.5344086021505375,-1.2091397849462366,-2.952688172043011,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0
IN,2005-01-09,0.2932885906040268,86.08544250838868,3.427956989247312,0.9252688172043012,-1.5774193548387097,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
IN,2005-01-10,0.5566666666666666,87.32478080452428,5.845833333333334,3.264583333333333,0.6824742268041237,9.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
IN,2005-01-11,8.125,93.660988795147,8.28989898989899,5.358080808080809,2.426262626262626,24.0,0.0,20.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
IN,2005-01-12,18.49019607843137,89.6938089489992,15.006060606060606,10.976767676767675,6.947474747474747,18.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
IN,2005-01-13,16.951973684210525,88.64566323369526,17.753061224489795,11.722959183673469,5.692857142857143,8.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0
IN,2005-01-14,13.076666666666666,75.00921902242736,7.0,-0.3052083333333333,-7.610416666666667,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IN,2005-01-15,0.032,67.55716500097279,-3.852631578947368,-6.430000000000001,-9.007368421052632,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IN,2005-01-16,2.013103448275862,73.88078015544077,-4.437113402061856,-7.658247422680413,-10.879381443298968,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0
IN,2005-01-17,0.3340136054421768,70.17295301587893,-7.508333333333333,-11.989583333333334,-16.470833333333335,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
IN,2005-01-18,0.094,71.18366301474587,-7.371428571428571,-12.562244897959182,-17.753061224489795,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IN,2005-01-19,0.738,73.6582089368006,0.2346938775510203,-5.976288659793815,-12.20103092783505,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0
IN,2005-01-20,0.6543624161073825,82.72388300061546,1.4408163265306122,-1.345876288659794,-4.136082474226804,5.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0
IN,2005-01-21,2.2317880794701987,75.74470687394724,-1.4551020408163264,-5.522448979591837,-9.589795918367347,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
