STATE,DATE,PRCP,RH,TMAX,TAVG,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
CO,2005-01-01,0.177449947312961,62.86246867503955,4.859550561797753,-1.0837078651685397,-7.031932773109244,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
CO,2005-01-02,0.1911016949152542,75.95433735009557,3.7860724233983287,-2.661344537815126,-9.079608938547484,13.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO,2005-01-03,0.6558792924037461,81.78710553290911,2.559776536312849,-2.612709497206704,-7.766944444444444,28.0,5.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0
CO,2005-01-04,2.6330321285140563,88.91561734211986,1.601949860724234,-3.38816155988858,-8.350969529085871,44.0,4.0,2.0,4.0,1.0,13.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,2.0,6.0,3.0,0.0,4.0
CO,2005-01-05,4.451202404809619,87.05580777376818,-3.8725761772853184,-8.557340720221607,-13.224309392265193,18.0,2.0,2.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,3.0
CO,2005-01-06,1.6381687242798353,81.29742143929828,-4.540495867768596,-9.76542699724518,-14.990358126721762,11.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CO,2005-01-07,0.6056842105263157,74.3488606310666,-1.6766666666666667,-8.407083333333334,-15.136842105263156,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CO,2005-01-08,2.149617486338798,73.64615147076064,0.8628491620111731,-4.440083798882681,-9.732033426183843,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CO,2005-01-09,2.1409337676438653,67.32955046555351,5.4234636871508375,1.0519607843137255,-3.3181058495821727,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2005-01-10,2.933226152197213,76.21368325896253,6.772176308539946,2.172853185595568,-2.363434903047092,34.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
