year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2021,COLORADO,CO,2021-05-30,21,19.0,59.0,18.0,4.0,0.0
2021,COLORADO,CO,2021-06-06,22,10.0,64.0,20.0,6.0,0.0
2021,COLORADO,CO,2021-06-13,23,20.0,61.0,17.0,2.0,0.0
2021,COLORADO,CO,2021-06-20,24,25.0,53.0,19.0,3.0,0.0
2021,COLORADO,CO,2021-06-27,25,33.0,53.0,13.0,1.0,0.0
2021,COLORADO,CO,2021-07-04,26,31.0,51.0,17.0,1.0,0.0
2021,COLORADO,CO,2021-07-11,27,27.0,50.0,20.0,3.0,0.0
2021,COLORADO,CO,2021-07-18,28,24.0,54.0,18.0,4.0,0.0
2021,COLORADO,CO,2021-07-25,29,19.0,55.0,21.0,5.0,0.0
2021,COLORADO,CO,2021-08-01,30,15.0,50.0,25.0,9.0,1.0
2021,COLORADO,CO,2021-08-08,31,19.0,42.0,24.0,13.0,2.0
2021,COLORADO,CO,2021-08-15,32,15.0,41.0,29.0,12.0,3.0
2021,COLORADO,CO,2021-08-22,33,13.0,39.0,29.0,12.0,7.0
2021,COLORADO,CO,2021-08-29,34,13.0,47.0,25.0,12.0,3.0
2021,COLORADO,CO,2021-09-05,35,14.0,47.0,25.0,13.0,1.0
2021,COLORADO,CO,2021-09-12,36,12.0,41.0,27.0,14.0,6.0
2021,COLORADO,CO,2021-09-19,37,8.0,36.0,28.0,18.0,10.0
2021,COLORADO,CO,2021-09-26,38,8.0,33.0,25.0,20.0,14.0
2021,COLORADO,CO,2021-10-03,39,8.0,42.0,20.0,17.0,13.0
2021,COLORADO,CO,2021-10-10,40,11.0,44.0,20.0,15.0,10.0
2021,COLORADO,CO,2021-10-17,41,13.0,43.0,18.0,19.0,7.0
2021,COLORADO,CO,2021-10-24,42,11.0,40.0,25.0,17.0,7.0
