year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2013,MINNESOTA,MN,2013-06-02,22,9.0,51.0,35.0,4.0,1.0
2013,MINNESOTA,MN,2013-06-09,23,5.0,50.0,37.0,6.0,2.0
2013,MINNESOTA,MN,2013-06-16,24,8.0,50.0,34.0,6.0,2.0
2013,MINNESOTA,MN,2013-06-23,25,9.0,50.0,34.0,5.0,2.0
2013,MINNESOTA,MN,2013-06-30,26,8.0,50.0,32.0,7.0,3.0
2013,MINNESOTA,MN,2013-07-07,27,9.0,54.0,30.0,5.0,2.0
2013,MINNESOTA,MN,2013-07-14,28,12.0,52.0,28.0,5.0,3.0
2013,MINNESOTA,MN,2013-07-21,29,10.0,54.0,27.0,6.0,3.0
2013,MINNESOTA,MN,2013-07-28,30,12.0,50.0,30.0,6.0,2.0
2013,MINNESOTA,MN,2013-08-04,31,11.0,49.0,31.0,7.0,2.0
2013,MINNESOTA,MN,2013-08-11,32,12.0,49.0,29.0,7.0,3.0
2013,MINNESOTA,MN,2013-08-18,33,11.0,49.0,29.0,8.0,3.0
2013,MINNESOTA,MN,2013-08-25,34,10.0,46.0,32.0,9.0,3.0
2013,MINNESOTA,MN,2013-09-01,35,8.0,45.0,33.0,10.0,4.0
2013,MINNESOTA,MN,2013-09-08,36,7.0,44.0,36.0,10.0,3.0
2013,MINNESOTA,MN,2013-09-15,37,5.0,46.0,34.0,10.0,5.0
2013,MINNESOTA,MN,2013-09-22,38,5.0,45.0,37.0,9.0,4.0
2013,MINNESOTA,MN,2013-09-29,39,4.0,44.0,35.0,12.0,5.0
2013,MINNESOTA,MN,2013-10-20,42,11.0,46.0,31.0,9.0,3.0
2013,MINNESOTA,MN,2013-10-27,43,12.0,47.0,31.0,7.0,3.0
