year,state_name,state_alpha,region,planted_all,harvested_grain,yield_grain,production_grain
2021,COLORADO,CO,Semi-Arid Continental,1370000,1140000,129,147060000
2021,ILLINOIS,IL,Temperate Humid,11000000,10850000,202,2191700000
2021,INDIANA,IN,Temperate Humid,5400000,5270000,195,1027650000
2021,IOWA,IA,Temperate Humid,12900000,12450000,204,2539800000
2021,KANSAS,KS,Semi-Arid Continental,5700000,5400000,139,750600000
2021,KENTUCKY,KY,Subtropical Humid,1530000,1420000,192,272640000
2021,MICHIGAN,MI,Temperate Humid,2350000,1990000,174,346260000
2021,MINNESOTA,MN,Temperate Humid,8350000,7790000,177,1378830000
2021,MISSOURI,MO,Temperate Humid,3600000,3430000,159,545370000
2021,NEBRASKA,NE,Semi-Arid Continental,9900000,9560000,194,1854640000
2021,NORTH CAROLINA,NC,Subtropical Humid,960000,905000,149,134845000
2021,NORTH DAKOTA,ND,Semi-Arid Continental,4100000,3630000,105,381150000
2021,OHIO,OH,Temperate Humid,3550000,3340000,193,644620000
2021,PENNSYLVANIA,PA,Temperate Humid,1180000,850000,169,143650000
2021,SOUTH DAKOTA,SD,Semi-Arid Continental,6150000,5480000,134,734320000
2021,TENNESSEE,TN,Subtropical Humid,990000,930000,170,158100000
2021,TEXAS,TX,Semi-Arid Continental,2150000,1850000,128,236800000
2021,WISCONSIN,WI,Temperate Humid,3950000,3000000,180,540000000
