year,state_name,state_alpha,region,planted_all,harvested_grain,yield_grain,production_grain
2017,COLORADO,CO,Semi-Arid Continental,667000,634000,82.3,52200000
2017,ILLINOIS,IL,Temperate Humid,11200000,10950000,201.0,2200950000
2017,INDIANA,IN,Temperate Humid,5350000,5200000,180.0,936000000
2017,IOWA,IA,Temperate Humid,13300000,12900000,202.0,2605800000
2017,KANSAS,KS,Semi-Arid Continental,3967000,3778000,107.3,405495000
2017,KENTUCKY,KY,Subtropical Humid,1320000,1220000,178.0,217160000
2017,MICHIGAN,MI,Temperate Humid,2250000,1890000,159.0,300510000
2017,MINNESOTA,MN,Temperate Humid,8050000,7630000,194.0,1480220000
2017,MISSOURI,MO,Temperate Humid,3400000,3250000,170.0,552500000
2017,NEBRASKA,NE,Semi-Arid Continental,4117000,4022000,144.6,581585000
2017,NORTH CAROLINA,NC,Subtropical Humid,890000,840000,142.0,119280000
2017,NORTH DAKOTA,ND,Semi-Arid Continental,3420000,3230000,139.0,448970000
2017,OHIO,OH,Temperate Humid,3400000,3150000,177.0,557550000
2017,PENNSYLVANIA,PA,Temperate Humid,1350000,920000,161.0,148120000
2017,SOUTH DAKOTA,SD,Semi-Arid Continental,5700000,5080000,145.0,736600000
2017,TENNESSEE,TN,Subtropical Humid,750000,710000,171.0,121410000
2017,TEXAS,TX,Semi-Arid Continental,1348000,1285000,101.2,130000000
2017,WISCONSIN,WI,Temperate Humid,3900000,2930000,174.0,509820000
