year,state_name,state_alpha,region,planted_all,harvested_grain,yield_grain,production_grain
2013,COLORADO,CO,Semi-Arid Continental,460000,340000,31.0,10540000
2013,ILLINOIS,IL,Temperate Humid,12000000,11800000,178.0,2100400000
2013,INDIANA,IN,Temperate Humid,6000000,5830000,177.0,1031910000
2013,IOWA,IA,Temperate Humid,13600000,13050000,164.0,2140200000
2013,KANSAS,KS,Semi-Arid Continental,2745000,2500000,88.0,219893000
2013,KENTUCKY,KY,Subtropical Humid,1530000,1430000,170.0,243100000
2013,MICHIGAN,MI,Temperate Humid,2600000,2230000,155.0,345650000
2013,MINNESOTA,MN,Temperate Humid,8600000,8140000,159.0,1294260000
2013,MISSOURI,MO,Temperate Humid,3350000,3200000,136.0,435200000
2013,NEBRASKA,NE,Semi-Arid Continental,4045000,3835000,128.7,493610000
2013,NORTH CAROLINA,NC,Subtropical Humid,930000,860000,142.0,122120000
2013,NORTH DAKOTA,ND,Semi-Arid Continental,3850000,3600000,110.0,396000000
2013,OHIO,OH,Temperate Humid,3900000,3740000,174.0,650760000
2013,PENNSYLVANIA,PA,Temperate Humid,1480000,1090000,146.0,159140000
2013,SOUTH DAKOTA,SD,Semi-Arid Continental,6200000,5860000,137.0,802820000
2013,TENNESSEE,TN,Subtropical Humid,890000,810000,156.0,126360000
2013,TEXAS,TX,Semi-Arid Continental,1222000,1017000,83.4,84774000
2013,WISCONSIN,WI,Temperate Humid,4100000,3030000,145.0,439350000
