year,state_name,state_alpha,region,planted_all,harvested_grain,yield_grain,production_grain
2008,COLORADO,CO,Semi-Arid Continental,400000,300000,45,13600000
2008,ILLINOIS,IL,Temperate Humid,12100000,11900000,179,2130100000
2008,INDIANA,IN,Temperate Humid,5700000,5460000,160,873600000
2008,IOWA,IA,Temperate Humid,13300000,12800000,171,2188800000
2008,KANSAS,KS,Semi-Arid Continental,2275000,2104000,97,203190000
2008,KENTUCKY,KY,Subtropical Humid,1210000,1120000,136,152320000
2008,MICHIGAN,MI,Temperate Humid,2400000,2140000,138,295320000
2008,MINNESOTA,MN,Temperate Humid,7700000,7200000,162,1166400000
2008,MISSOURI,MO,Temperate Humid,2800000,2650000,144,381600000
2008,NEBRASKA,NE,Semi-Arid Continental,3440000,3335000,130,433550000
2008,NORTH CAROLINA,NC,Subtropical Humid,900000,830000,78,64740000
2008,NORTH DAKOTA,ND,Semi-Arid Continental,2441000,2199000,123,269731000
2008,OHIO,OH,Temperate Humid,3300000,3120000,131,408720000
2008,PENNSYLVANIA,PA,Temperate Humid,1350000,880000,133,117040000
2008,SOUTH DAKOTA,SD,Semi-Arid Continental,4535000,4198000,131,550050000
2008,TENNESSEE,TN,Subtropical Humid,690000,630000,118,74340000
2008,TEXAS,TX,Semi-Arid Continental,1150000,1020000,62,63440000
2008,WISCONSIN,WI,Temperate Humid,3800000,2880000,137,394560000
