year,state_name,state_alpha,region,planted_all,harvested_grain,yield_grain,production_grain
2006,COLORADO,CO,Semi-Arid Continental,290000,235000,32.0,7520000
2006,ILLINOIS,IL,Temperate Humid,11300000,11150000,163.0,1817450000
2006,INDIANA,IN,Temperate Humid,5500000,5380000,157.0,844660000
2006,IOWA,IA,Temperate Humid,12600000,12350000,166.0,2050100000
2006,KANSAS,KS,Semi-Arid Continental,1990000,1720000,72.0,124000000
2006,KENTUCKY,KY,Subtropical Humid,1120000,1040000,146.0,151840000
2006,MICHIGAN,MI,Temperate Humid,2200000,1950000,147.0,286650000
2006,MINNESOTA,MN,Temperate Humid,7300000,6850000,161.0,1102850000
2006,MISSOURI,MO,Temperate Humid,2700000,2630000,138.0,362940000
2006,NEBRASKA,NE,Semi-Arid Continental,3235000,3035000,101.0,306535000
2006,NORTH CAROLINA,NC,Subtropical Humid,790000,740000,132.0,97680000
2006,NORTH DAKOTA,ND,Semi-Arid Continental,1605800,1326200,108.3,143680000
2006,OHIO,OH,Temperate Humid,3150000,2960000,159.0,470640000
2006,PENNSYLVANIA,PA,Temperate Humid,1350000,960000,122.0,117120000
2006,SOUTH DAKOTA,SD,Semi-Arid Continental,4324000,3054000,93.1,284340000
2006,TENNESSEE,TN,Subtropical Humid,550000,500000,125.0,62500000
2006,TEXAS,TX,Semi-Arid Continental,996000,787000,72.0,57000000
2006,WISCONSIN,WI,Temperate Humid,3650000,2800000,143.0,400400000
