year,state_name,state_alpha,region,planted_all,harvested_grain,yield_grain,production_grain
2014,COLORADO,CO,Semi-Arid Continental,369000,350000,61.2,21420000
2014,ILLINOIS,IL,Temperate Humid,11900000,11750000,200.0,2350000000
2014,INDIANA,IN,Temperate Humid,5900000,5770000,188.0,1084760000
2014,IOWA,IA,Temperate Humid,13700000,13300000,178.0,2367400000
2014,KANSAS,KS,Semi-Arid Continental,2550000,2406000,121.8,292947000
2014,KENTUCKY,KY,Subtropical Humid,1520000,1430000,158.0,225940000
2014,MICHIGAN,MI,Temperate Humid,2550000,2210000,161.0,355810000
2014,MINNESOTA,MN,Temperate Humid,8200000,7550000,156.0,1177800000
2014,MISSOURI,MO,Temperate Humid,3500000,3380000,186.0,628680000
2014,NEBRASKA,NE,Semi-Arid Continental,3810000,3697000,147.5,545474000
2014,NORTH CAROLINA,NC,Subtropical Humid,840000,780000,132.0,102960000
2014,NORTH DAKOTA,ND,Semi-Arid Continental,2800000,2530000,124.0,313720000
2014,OHIO,OH,Temperate Humid,3700000,3480000,176.0,612480000
2014,PENNSYLVANIA,PA,Temperate Humid,1460000,1030000,154.0,158620000
2014,SOUTH DAKOTA,SD,Semi-Arid Continental,5800000,5320000,148.0,787360000
2014,TENNESSEE,TN,Subtropical Humid,920000,840000,168.0,141120000
2014,TEXAS,TX,Semi-Arid Continental,1134000,1052000,99.8,104981000
2014,WISCONSIN,WI,Temperate Humid,4000000,3110000,156.0,485160000
