year,state_name,state_alpha,region,planted_all,harvested_grain,yield_grain,production_grain
2012,COLORADO,CO,Semi-Arid Continental,560000,305000,17.5,5330000
2012,ILLINOIS,IL,Temperate Humid,12800000,12250000,105.0,1286250000
2012,INDIANA,IN,Temperate Humid,6250000,6030000,99.0,596970000
2012,IOWA,IA,Temperate Humid,14200000,13700000,137.0,1876900000
2012,KANSAS,KS,Semi-Arid Continental,3090000,2450000,49.0,119939000
2012,KENTUCKY,KY,Subtropical Humid,1650000,1530000,68.0,104040000
2012,MICHIGAN,MI,Temperate Humid,2700000,2380000,132.0,314160000
2012,MINNESOTA,MN,Temperate Humid,8750000,8330000,165.0,1374450000
2012,MISSOURI,MO,Temperate Humid,3600000,3300000,75.0,247500000
2012,NEBRASKA,NE,Semi-Arid Continental,4150000,3325000,58.5,194500000
2012,NORTH CAROLINA,NC,Subtropical Humid,870000,820000,117.0,95940000
2012,NORTH DAKOTA,ND,Semi-Arid Continental,3640000,3460000,122.0,422120000
2012,OHIO,OH,Temperate Humid,3900000,3650000,120.0,438000000
2012,PENNSYLVANIA,PA,Temperate Humid,1460000,1000000,131.0,131000000
2012,SOUTH DAKOTA,SD,Semi-Arid Continental,6150000,5300000,101.0,535300000
2012,TENNESSEE,TN,Subtropical Humid,1040000,960000,85.0,81600000
2012,TEXAS,TX,Semi-Arid Continental,920000,766000,83.8,64202000
2012,WISCONSIN,WI,Temperate Humid,4350000,3300000,120.0,396000000
