year,state_name,state_alpha,region,planted_all,harvested_grain,yield_grain,production_grain
2007,COLORADO,CO,Semi-Arid Continental,450000,420000,60.5,25400000
2007,ILLINOIS,IL,Temperate Humid,13200000,13050000,175.0,2283750000
2007,INDIANA,IN,Temperate Humid,6500000,6370000,154.0,980980000
2007,IOWA,IA,Temperate Humid,14200000,13900000,171.0,2376900000
2007,KANSAS,KS,Semi-Arid Continental,2275000,2113000,97.0,205040000
2007,KENTUCKY,KY,Subtropical Humid,1440000,1340000,128.0,171520000
2007,MICHIGAN,MI,Temperate Humid,2650000,2340000,123.0,287820000
2007,MINNESOTA,MN,Temperate Humid,8400000,7850000,146.0,1146100000
2007,MISSOURI,MO,Temperate Humid,3450000,3270000,140.0,457800000
2007,NEBRASKA,NE,Semi-Arid Continental,3555000,3468000,125.0,433500000
2007,NORTH CAROLINA,NC,Subtropical Humid,1090000,1010000,100.0,101000000
2007,NORTH DAKOTA,ND,Semi-Arid Continental,2445200,2243100,114.5,256818000
2007,OHIO,OH,Temperate Humid,3850000,3610000,150.0,541500000
2007,PENNSYLVANIA,PA,Temperate Humid,1430000,980000,124.0,121520000
2007,SOUTH DAKOTA,SD,Semi-Arid Continental,4735000,4279000,118.6,507480000
2007,TENNESSEE,TN,Subtropical Humid,860000,790000,106.0,83740000
2007,TEXAS,TX,Semi-Arid Continental,1081000,1020000,101.0,102560000
2007,WISCONSIN,WI,Temperate Humid,4050000,3280000,135.0,442800000
