year,state_name,state_alpha,region,planted_all,harvested_grain,yield_grain,production_grain
2016,COLORADO,CO,Semi-Arid Continental,541000,500000,66.6,33300000
2016,ILLINOIS,IL,Temperate Humid,11600000,11450000,197.0,2255650000
2016,INDIANA,IN,Temperate Humid,5600000,5470000,173.0,946310000
2016,IOWA,IA,Temperate Humid,13900000,13500000,203.0,2740500000
2016,KANSAS,KS,Semi-Arid Continental,3465000,3370000,120.3,405257000
2016,KENTUCKY,KY,Subtropical Humid,1500000,1400000,159.0,222600000
2016,MICHIGAN,MI,Temperate Humid,2400000,2040000,157.0,320280000
2016,MINNESOTA,MN,Temperate Humid,8450000,8000000,193.0,1544000000
2016,MISSOURI,MO,Temperate Humid,3650000,3500000,163.0,570500000
2016,NEBRASKA,NE,Semi-Arid Continental,4088000,3973000,147.2,584961000
2016,NORTH CAROLINA,NC,Subtropical Humid,1000000,940000,129.0,121260000
2016,NORTH DAKOTA,ND,Semi-Arid Continental,3450000,3270000,158.0,516660000
2016,OHIO,OH,Temperate Humid,3550000,3300000,159.0,524700000
2016,PENNSYLVANIA,PA,Temperate Humid,1400000,950000,129.0,122550000
2016,SOUTH DAKOTA,SD,Semi-Arid Continental,5600000,5130000,161.0,825930000
2016,TENNESSEE,TN,Subtropical Humid,880000,830000,151.0,125330000
2016,TEXAS,TX,Semi-Arid Continental,1500000,1350000,81.5,110000000
2016,WISCONSIN,WI,Temperate Humid,4050000,3220000,178.0,573160000
