year,state_name,state_alpha,region,planted_all,harvested_grain,yield_grain,production_grain
2019,COLORADO,CO,Semi-Arid Continental,1550000,1300000,123,159900000
2019,ILLINOIS,IL,Temperate Humid,10500000,10200000,181,1846200000
2019,INDIANA,IN,Temperate Humid,4950000,4770000,169,806130000
2019,IOWA,IA,Temperate Humid,13400000,12950000,198,2564100000
2019,KANSAS,KS,Semi-Arid Continental,6400000,6020000,133,800660000
2019,KENTUCKY,KY,Subtropical Humid,1550000,1450000,169,245050000
2019,MICHIGAN,MI,Temperate Humid,2000000,1610000,147,236670000
2019,MINNESOTA,MN,Temperate Humid,7800000,7250000,174,1261500000
2019,MISSOURI,MO,Temperate Humid,3200000,2980000,155,461900000
2019,NEBRASKA,NE,Semi-Arid Continental,10100000,9810000,182,1785420000
2019,NORTH CAROLINA,NC,Subtropical Humid,990000,930000,111,103230000
2019,NORTH DAKOTA,ND,Semi-Arid Continental,3500000,3130000,131,410030000
2019,OHIO,OH,Temperate Humid,2800000,2570000,164,421480000
2019,PENNSYLVANIA,PA,Temperate Humid,1300000,930000,153,142290000
2019,SOUTH DAKOTA,SD,Semi-Arid Continental,4350000,3870000,144,557280000
2019,TENNESSEE,TN,Subtropical Humid,970000,910000,177,161070000
2019,TEXAS,TX,Semi-Arid Continental,2500000,2150000,133,285950000
2019,WISCONSIN,WI,Temperate Humid,3800000,2670000,166,443220000
