year,state_name,state_alpha,region,planted_all,harvested_grain,yield_grain,production_grain
2018,COLORADO,CO,Semi-Arid Continental,672000,610000,66.7,40700000
2018,ILLINOIS,IL,Temperate Humid,11000000,10800000,210.0,2268000000
2018,INDIANA,IN,Temperate Humid,5300000,5120000,189.0,967680000
2018,IOWA,IA,Temperate Humid,13200000,12750000,196.0,2499000000
2018,KANSAS,KS,Semi-Arid Continental,3882000,3559000,102.5,364700000
2018,KENTUCKY,KY,Subtropical Humid,1330000,1220000,175.0,213500000
2018,MICHIGAN,MI,Temperate Humid,2250000,1860000,152.0,282720000
2018,MINNESOTA,MN,Temperate Humid,7900000,7460000,182.0,1357720000
2018,MISSOURI,MO,Temperate Humid,3500000,3300000,140.0,462000000
2018,NEBRASKA,NE,Semi-Arid Continental,4117000,3993000,160.3,640238000
2018,NORTH CAROLINA,NC,Subtropical Humid,910000,830000,113.0,93790000
2018,NORTH DAKOTA,ND,Semi-Arid Continental,3150000,2930000,153.0,448290000
2018,OHIO,OH,Temperate Humid,3500000,3300000,187.0,617100000
2018,PENNSYLVANIA,PA,Temperate Humid,1250000,855000,140.0,119700000
2018,SOUTH DAKOTA,SD,Semi-Arid Continental,5300000,4860000,160.0,777600000
2018,TENNESSEE,TN,Subtropical Humid,720000,670000,168.0,112560000
2018,TEXAS,TX,Semi-Arid Continental,1205000,1000000,69.0,69000000
2018,WISCONSIN,WI,Temperate Humid,3900000,3170000,172.0,545240000
