year,state_name,state_alpha,region,planted_all,harvested_grain,yield_grain,production_grain
2022,COLORADO,CO,Semi-Arid Continental,1340000,970000,121,117370000
2022,ILLINOIS,IL,Temperate Humid,10800000,10600000,214,2268400000
2022,INDIANA,IN,Temperate Humid,5250000,5130000,190,974700000
2022,IOWA,IA,Temperate Humid,12900000,12350000,200,2470000000
2022,KANSAS,KS,Semi-Arid Continental,5500000,4440000,115,510600000
2022,KENTUCKY,KY,Subtropical Humid,1420000,1330000,156,207480000
2022,MICHIGAN,MI,Temperate Humid,2300000,1940000,168,325920000
2022,MINNESOTA,MN,Temperate Humid,8000000,7490000,195,1460550000
2022,MISSOURI,MO,Temperate Humid,3350000,3110000,161,500710000
2022,NEBRASKA,NE,Semi-Arid Continental,9600000,8820000,165,1455300000
2022,NORTH CAROLINA,NC,Subtropical Humid,820000,775000,126,97650000
2022,NORTH DAKOTA,ND,Semi-Arid Continental,2950000,2650000,130,344500000
2022,OHIO,OH,Temperate Humid,3400000,3180000,187,594660000
2022,PENNSYLVANIA,PA,Temperate Humid,1020000,645000,140,90300000
2022,SOUTH DAKOTA,SD,Semi-Arid Continental,5750000,5010000,132,661320000
2022,TENNESSEE,TN,Subtropical Humid,830000,785000,130,102050000
2022,TEXAS,TX,Semi-Arid Continental,2150000,1610000,95,152950000
2022,WISCONSIN,WI,Temperate Humid,3900000,2990000,180,538200000
