year,state_name,state_alpha,region,planted_all,harvested_grain,yield_grain,production_grain
2011,COLORADO,CO,Semi-Arid Continental,610000,515000,55.1,28400000
2011,ILLINOIS,IL,Temperate Humid,12600000,12350000,157.0,1938950000
2011,INDIANA,IN,Temperate Humid,5900000,5750000,146.0,839500000
2011,IOWA,IA,Temperate Humid,14100000,13700000,172.0,2356400000
2011,KANSAS,KS,Semi-Arid Continental,3210000,2670000,76.4,203900000
2011,KENTUCKY,KY,Subtropical Humid,1380000,1300000,139.0,180700000
2011,MICHIGAN,MI,Temperate Humid,2500000,2190000,153.0,335070000
2011,MINNESOTA,MN,Temperate Humid,8100000,7700000,155.0,1193500000
2011,MISSOURI,MO,Temperate Humid,3300000,3050000,114.0,347700000
2011,NEBRASKA,NE,Semi-Arid Continental,4085000,4000000,132.0,528000000
2011,NORTH CAROLINA,NC,Subtropical Humid,870000,815000,84.0,68460000
2011,NORTH DAKOTA,ND,Semi-Arid Continental,2230000,2060000,105.0,216300000
2011,OHIO,OH,Temperate Humid,3400000,3200000,153.0,489600000
2011,PENNSYLVANIA,PA,Temperate Humid,1420000,960000,111.0,106560000
2011,SOUTH DAKOTA,SD,Semi-Arid Continental,5200000,4950000,132.0,653400000
2011,TENNESSEE,TN,Subtropical Humid,790000,735000,131.0,96285000
2011,TEXAS,TX,Semi-Arid Continental,930000,652000,40.8,26588000
2011,WISCONSIN,WI,Temperate Humid,4150000,3320000,155.0,514600000
