STATE,DATE,TAVG,TMIN,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
NC,2021-04-14,16.637567567567565,9.003243243243242,24.27189189189189,0.1217341040462427,67.31540046333912,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
NC,2021-04-15,16.68882978723404,9.833510638297872,23.544148936170213,2.1859016393442623,69.94677216239711,8.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
NC,2021-04-16,12.281182795698928,4.675806451612903,19.886559139784943,0.4182448036951501,50.911550887720175,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC,2021-04-17,12.68736559139785,6.074731182795699,19.3,0.0103739445114595,59.58126633870672,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
NC,2021-04-18,13.548097826086956,6.98858695652174,20.10760869565217,0.0106537530266343,61.67454780792106,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2021-04-19,14.156951871657752,7.331550802139038,20.98235294117647,0.3877790834312573,68.85928916527372,7.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
NC,2021-04-20,13.098387096774196,5.119354838709677,21.07741935483871,0.9900339750849376,62.95279366332477,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2021-04-21,13.950274725274724,5.544505494505494,22.35604395604396,0.0043529411764705,59.7904126110679,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2021-04-22,8.819786096256685,0.1304812834224599,17.46914893617021,0.027304964539007,44.00750916863718,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
NC,2021-04-23,8.166935483870967,0.2547872340425532,16.07967914438503,0.0005854800936768,53.74306842182295,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
NC,2021-04-24,10.571505376344083,4.247849462365592,16.89516129032258,1.0135714285714286,78.30420429355254,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2021-04-25,13.182065217391305,8.582065217391303,17.782065217391306,11.106031746031746,75.32609084729467,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2021-04-26,13.776775956284151,5.797267759562842,21.756284153005463,0.1790780141843971,58.81032335076895,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2021-04-27,16.7231843575419,7.804469273743017,25.64189944134078,0.0012775842044134,62.16778343605119,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2021-04-28,20.25869565217392,12.667934782608697,27.84945652173913,0.0003488372093023,66.10442775483179,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2021-04-29,22.108152173913044,16.10271739130435,28.113586956521736,0.0331381733021077,66.92844572926634,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2021-04-30,20.904891304347824,14.917391304347827,26.892391304347825,0.8875440658049353,49.57285183770791,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
NC,2021-05-01,16.192349726775955,8.488524590163935,23.908152173913045,0.0084662576687116,39.89397269025461,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
NC,2021-05-02,16.684408602150537,8.538172043010752,24.830645161290324,0.0279268292682926,60.44611390312155,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2021-05-03,19.46639344262295,13.292934782608697,25.6672131147541,2.9567318757192176,79.5077012934498,12.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0
NC,2021-05-04,21.59054054054054,16.835675675675674,26.36505376344086,10.78586839266451,79.59528787021125,13.0,1.0,21.0,0.0,0.0,0.0,2.0,0.0
NC,2021-05-05,21.601344086021506,16.18978494623656,27.03475935828877,8.391530944625407,75.57719478886621,9.0,1.0,12.0,0.0,0.0,0.0,2.0,0.0
NC,2021-05-06,17.239839572192512,10.46470588235294,24.01497326203209,1.6733634311512415,62.34337810910114,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
NC,2021-05-07,13.70792349726776,7.848128342245989,19.593442622950818,2.0817543859649126,70.76843252469591,12.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0
NC,2021-05-08,12.936141304347826,5.620108695652173,20.23567567567568,3.926643598615917,56.67124687959283,3.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0
NC,2021-05-09,16.141847826086956,8.300543478260868,23.97945945945946,0.1057108140947752,58.02134738094541,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC,2021-05-10,19.2625,12.649729729729732,25.86413043478261,5.372080088987764,72.26875335441369,16.0,0.0,16.0,0.0,1.0,0.0,3.0,0.0
NC,2021-05-11,17.585135135135136,11.915135135135136,23.30053475935829,3.4755852842809363,71.59951902367412,5.0,0.0,8.0,0.0,1.0,0.0,1.0,1.0
NC,2021-05-12,13.565945945945945,8.807526881720431,18.35454545454545,2.190600226500566,81.93286877531003,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
NC,2021-05-13,10.982162162162162,5.088648648648649,16.875675675675677,7.085854189336235,67.22791206435748,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2021-05-14,13.01027027027027,5.3886486486486485,20.64032258064516,0.0997627520759193,58.71534079554019,5.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2021-05-15,13.881521739130434,5.649456521739131,22.11729729729729,0.0428057553956834,54.661881005553845,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2021-05-16,15.73791208791209,7.967582417582417,23.516393442622952,0.0167070217917675,63.52904444601807,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2021-05-17,17.223076923076924,10.855494505494503,23.6,0.270242214532872,69.4485727575148,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2021-05-18,18.33469945355192,12.798907103825137,23.879891304347822,0.0423121387283237,69.4209466364328,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2021-05-19,18.488235294117647,12.176470588235292,24.8,0.0056009334889148,67.24044907399174,10.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2021-05-20,19.458288770053475,11.561497326203208,27.35508021390374,0.0260768335273573,62.59608340976026,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2021-05-21,19.885675675675675,12.130810810810807,27.64054054054054,0.0,60.89900365662544,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2021-05-22,19.98179347826087,11.614673913043475,28.34891304347826,0.0,62.46898653431813,10.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2021-05-23,22.5021978021978,14.592857142857143,30.433333333333334,0.0022058823529411,57.89704018016087,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2021-05-24,23.84705882352941,16.227807486631015,31.46631016042781,0.0733333333333333,63.87079755051472,8.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0
NC,2021-05-25,23.98957219251337,17.5524064171123,30.42673796791444,1.5550282485875706,76.72345834700066,10.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0
NC,2021-05-26,24.532712765957445,18.2531914893617,30.81223404255319,2.0334841628959275,70.37211822020261,11.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
NC,2021-05-27,24.75398936170213,17.9281914893617,31.579787234042552,0.4416091954022988,63.97051583844583,3.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0
NC,2021-05-28,24.54867021276596,18.216489361702127,30.880851063829784,1.2739428571428573,68.40227058969069,10.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
NC,2021-05-29,22.80434782608696,16.76521739130435,28.849729729729727,6.29609375,76.80585679535147,12.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0
NC,2021-05-30,16.993478260869566,11.150543478260868,22.805945945945947,9.915528634361232,83.3276615237832,12.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
