STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11,WT13,WT14,WT16,WT18,WT19,WT21,WT22
NC,2012-01-01,0.150191570881226,72.19689912725055,0.4282051282051282,17.364102564102563,8.898969072164949,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0
NC,2012-01-02,0.8716117216117216,47.41505269812559,-1.0772727272727274,14.702020202020202,6.801776649746193,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
NC,2012-01-03,0.2858695652173913,45.35540105167758,-5.814356435643564,4.930348258706467,-0.4467661691542288,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
NC,2012-01-04,0.021880650994575,47.12615464858301,-8.970443349753694,3.100990099009901,-2.9467661691542286,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2012-01-05,0.0014466546112115,47.902835547449264,-5.402970297029704,9.607920792079208,2.1024752475247523,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2012-01-06,0.0,55.239671974361976,-2.116256157635468,15.2128078817734,6.548275862068965,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2012-01-07,0.094172932330827,60.18298896281583,1.3241206030150754,18.5135,9.920603015075375,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
NC,2012-01-08,1.0602587800369687,69.25359739703276,4.771717171717172,16.956852791878173,10.872081218274111,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0
NC,2012-01-09,3.295726495726496,84.24996617961766,5.505882352941176,12.529411764705882,9.01764705882353,39.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,10.0,0.0,0.0,0.0,0.0
NC,2012-01-10,3.7520938023450574,84.93790997302742,5.4303921568627445,11.460591133004923,8.442364532019704,49.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0
NC,2012-01-11,4.93597972972973,90.80261638962556,5.485294117647059,13.617560975609756,9.557598039215684,38.0,5.0,12.0,0.0,1.0,0.0,1.0,0.0,7.0,2.0,10.0,0.0,0.0,1.0,0.0
NC,2012-01-12,18.42178217821782,81.38947855191883,4.924752475247525,13.80886699507389,9.365346534653463,18.0,2.0,8.0,1.0,4.0,0.0,1.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0
NC,2012-01-13,1.0062724014336917,56.85490706829371,-1.7044334975369455,12.21881188118812,5.262623762376237,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2012-01-14,0.031758034026465,56.17867698300483,-4.867676767676768,5.987878787878787,0.5601010101010101,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC,2012-01-15,0.2307984790874524,60.67397897961128,-3.890355329949239,7.226395939086294,1.668020304568528,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2012-01-16,0.064804469273743,65.93709703016373,-4.376884422110553,8.153768844221105,1.8884422110552763,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC,2012-01-17,0.5057971014492754,71.71575794102125,0.1605911330049261,12.813300492610836,6.486945812807881,12.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0
NC,2012-01-18,8.714932885906041,70.3462791766296,2.586567164179104,14.64158415841584,8.60223880597015,20.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,10.0,0.0,0.0,0.0,0.0
NC,2012-01-19,0.6762162162162162,61.90009803408641,-3.231862745098039,9.28529411764706,3.02671568627451,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2012-01-20,0.4523020257826887,72.39805364768996,-1.853694581280788,10.408866995073891,4.277586206896552,17.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,10.0,0.0,0.0,0.0,0.0
NC,2012-01-21,8.920826161790018,90.22072178821544,2.964,13.8935,8.42875,31.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,10.0,3.0,10.0,0.0,0.0,0.0,0.0
NC,2012-01-22,7.011837455830388,91.58252357029374,2.3205,11.160199004975125,6.71825,42.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0
NC,2012-01-23,2.9240437158469943,94.34565946131164,2.696039603960396,9.035820895522388,5.864427860696518,50.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,2.0,6.0,0.0,2.0,0.0,0.0
NC,2012-01-24,3.5322299651567945,85.81230622509229,3.8829268292682926,14.277073170731708,9.08,49.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0
NC,2012-01-25,0.0557586837294332,73.44432642789764,1.063235294117647,17.20980392156863,9.136519607843136,28.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2012-01-26,0.247992700729927,84.41043103676789,2.689054726368159,17.923762376237622,10.303980099502487,31.0,8.0,2.0,0.0,0.0,0.0,2.0,1.0,9.0,0.0,6.0,0.0,0.0,1.0,0.0
NC,2012-01-27,7.505299145299146,75.91816132504383,5.880582524271845,18.63043478260869,12.245388349514563,26.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0
NC,2012-01-28,2.2288888888888887,66.37707952982375,-0.4278606965174129,16.624378109452735,8.087250000000001,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2012-01-29,0.0052830188679245,46.17130297709787,-1.885427135678392,13.687,5.887688442211056,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2012-01-30,0.0014869888475836,46.13647684138984,-2.540686274509804,12.820588235294116,5.142118226600985,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
