STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT11,WT13,WT14,WT16,WT18,WT19,WT21,WT22
TN,2012-01-01,0.7568421052631579,64.36951681310374,1.4373333333333334,15.3841059602649,8.421333333333333,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0
TN,2012-01-02,1.3055441478439425,46.81591581501456,-3.12484076433121,11.347770700636945,4.100320512820512,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,1.0
TN,2012-01-03,0.14125,52.92203975712674,-8.24223602484472,2.59875,-2.8196875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
TN,2012-01-04,0.0063786008230452,52.41069587917978,-8.063975155279502,3.6838509316770174,-2.190062111801242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2012-01-05,0.0006122448979591,60.39640735558387,-4.5823170731707314,10.934969325153377,3.17239263803681,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2012-01-06,0.0299180327868852,58.28721421864336,-2.4734567901234565,14.653086419753087,6.089814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TN,2012-01-07,1.0580838323353294,77.48506280243215,2.037735849056604,16.89622641509434,9.466981132075473,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0,0.0,0.0,0.0,0.0
TN,2012-01-08,3.060531697341513,68.2081331740482,4.068789808917197,13.59936305732484,8.83407643312102,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0
TN,2012-01-09,4.159411764705882,82.22517969314173,5.205590062111801,11.581987577639753,8.393788819875777,19.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,9.0,0.0,0.0,1.0,0.0
TN,2012-01-10,2.223684210526316,79.50660162050235,4.631055900621118,11.796894409937888,8.213975155279503,17.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,8.0,0.0,0.0,0.0,0.0
TN,2012-01-11,27.000380952380954,88.74982075910545,5.438888888888889,12.72037037037037,9.07962962962963,12.0,3.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0
TN,2012-01-12,9.505108055009824,84.55935625074753,2.554320987654321,11.874074074074072,7.214197530864197,6.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,8.0,9.0,3.0,0.0,3.0
TN,2012-01-13,2.5248447204968945,64.04829282094637,-6.129746835443038,5.070886075949368,-0.5294303797468354,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0
TN,2012-01-14,0.0403470715835141,61.795013119132655,-7.227388535031848,3.18343949044586,-2.021974522292993,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
