STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11
CO,2016-01-01,-11.988718662952646,0.1350525310410697,67.09371207355916,-20.15702479338843,-3.80939226519337,10.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
CO,2016-01-02,-9.203708791208792,0.2297115384615384,54.74979354563937,-17.719021739130437,-0.6813698630136986,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CO,2016-01-03,-5.671625344352617,0.1141472868217054,56.62025670897877,-13.658196721311477,2.3379781420765027,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
CO,2016-01-04,-4.042148760330578,0.0684310018903591,61.95494602328542,-11.495616438356164,3.438842975206612,7.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
CO,2016-01-05,-3.5688365650969525,0.3684357541899441,65.42175208965118,-9.896712328767125,2.7476454293628807,12.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
CO,2016-01-06,-3.0059556786703605,0.4097261567516524,72.14545176012888,-8.665109890109889,2.5983471074380167,15.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
CO,2016-01-07,-3.670936639118457,1.4649954421148583,81.94082394293834,-8.468032786885246,1.0774104683195591,34.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
CO,2016-01-08,-6.484435261707989,4.1881932021466906,87.8590050383938,-11.20599455040872,-1.8038567493112947,37.0,10.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
CO,2016-01-09,-9.075,1.5881040892193308,84.25249324996902,-14.19361111111111,-3.979281767955801,32.0,5.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0
CO,2016-01-10,-10.539775910364146,0.12578125,78.00977855176751,-17.245555555555555,-3.854341736694678,24.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
CO,2016-01-11,-9.825766016713091,0.0936354869816779,65.88601149271993,-17.502747252747252,-2.1775,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CO,2016-01-12,-7.182686980609418,0.1359360301034807,56.02200877865472,-15.44848484848485,1.071546961325967,6.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CO,2016-01-13,-4.563259668508287,0.0548447789275634,58.04974810506148,-12.594505494505494,3.45564738292011,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
CO,2016-01-14,-5.348337950138504,0.1651184834123222,54.44819864589573,-12.254945054945056,1.5265193370165746,7.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0
