STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
TN,2020-01-01,3.860074626865672,0.0955223880597015,58.11946205704329,-1.8402985074626863,9.560447761194029,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2020-01-02,5.464335664335664,4.750975609756098,70.2690248543533,0.6791666666666667,10.254861111111111,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2020-01-03,9.37127659574468,42.374599542334096,96.9294249731375,6.48936170212766,12.237762237762238,18.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
TN,2020-01-04,8.337037037037037,9.502803738317755,83.47325634373807,3.675,12.971851851851852,14.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
TN,2020-01-05,3.6094890510948905,0.9465686274509804,68.59022205952863,-1.6248175182481752,8.843795620437955,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TN,2020-01-06,5.06830985915493,0.228361858190709,65.46167186485785,-1.7091549295774646,11.845774647887325,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2020-01-07,5.656737588652482,3.4953703703703702,60.09444849768564,-0.525531914893617,11.839007092198582,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2020-01-08,5.020070422535212,0.3543689320388349,54.17284573089543,-1.583916083916084,11.61549295774648,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2020-01-09,6.604255319148937,0.0036319612590799,56.40874092045458,-0.8553191489361702,14.063829787234043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2020-01-10,10.297122302158272,0.2785365853658537,64.54730664532406,4.466187050359712,16.128057553956836,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
TN,2020-01-11,15.196268656716418,11.017380952380952,84.23364036677891,10.855223880597014,19.53731343283582,10.0,1.0,14.0,0.0,0.0,0.0,3.0,3.0
TN,2020-01-12,11.438888888888888,32.597011494252875,81.94491013693832,4.823703703703704,18.05407407407408,2.0,0.0,9.0,0.0,1.0,0.0,2.0,7.0
TN,2020-01-13,8.37517730496454,0.9141119221411192,88.26694156630695,3.077304964539007,13.673049645390073,12.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
TN,2020-01-14,10.869310344827586,17.75497737556561,90.33055452501898,6.266896551724138,15.471724137931036,15.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0
TN,2020-01-15,13.943150684931506,3.178899082568808,94.0444012741094,11.139041095890413,16.747260273972604,16.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
TN,2020-01-16,11.32392857142857,6.163048498845265,74.7526741973265,5.686428571428571,16.98723404255319,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
TN,2020-01-17,5.20354609929078,0.221813725490196,56.48535906901935,-0.1499999999999999,10.570212765957448,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
TN,2020-01-18,6.085925925925926,2.4863523573200994,62.38853791354442,1.3644444444444443,10.833823529411765,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
TN,2020-01-19,3.971739130434783,8.506730769230769,55.25332465433291,-2.619565217391304,10.56304347826087,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2020-01-20,-2.7568840579710145,0.0881481481481481,67.62644386081945,-7.231884057971015,1.6899280575539568,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
TN,2020-01-21,-4.401027397260274,0.0400977995110024,61.2604829390116,-7.330821917808219,-1.4712328767123286,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
