STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
WI,2018-05-14,14.176123595505617,6.890540540540541,77.2267405464331,8.13988764044944,20.15879120879121,29.0,4.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0
WI,2018-05-15,17.195224719101123,3.1147186147186146,66.98067524910448,10.854494382022471,23.51868131868132,27.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,2018-05-16,15.721978021978025,0.0149184149184149,55.34970118632,7.188461538461538,24.255494505494507,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
WI,2018-05-17,17.77067039106145,0.1851598173515981,58.88958507774116,9.359217877094972,26.20274725274725,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
WI,2018-05-18,15.400280898876405,0.0469907407407407,51.12929571642934,8.339106145251398,22.444692737430167,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
WI,2018-05-19,16.63489010989011,1.167342342342342,71.2265344924292,9.932417582417584,23.337362637362634,15.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0
WI,2018-05-20,13.307777777777778,3.486455981941309,68.56484276261395,5.956666666666667,20.676795580110497,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,2018-05-21,11.395197740112994,2.8375286041189933,72.0698230378332,5.693888888888889,17.079213483146066,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,2018-05-22,13.340883977900551,7.494432548179872,83.7177808018077,9.328176795580111,17.325274725274724,30.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
WI,2018-05-23,16.282872928176793,0.1536866359447004,75.1939376963535,9.712154696132597,22.853591160221,39.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
WI,2018-05-24,19.88128491620112,1.2528735632183907,69.3350700483614,12.709444444444443,27.03277777777777,11.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0
WI,2018-05-25,22.660055865921787,4.842403628117914,68.19839343221739,15.96111111111111,29.391061452513966,7.0,0.0,24.0,0.0,1.0,0.0,2.0,0.0,1.0
