STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
NC,2024-04-22,8.469520547945205,67.57220836863405,4.4124293785310735,14.767613636363636,9.586647727272728,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
NC,2024-04-23,0.064018691588785,59.79093586243992,2.174444444444444,18.51888888888889,10.346666666666668,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
NC,2024-04-24,0.0785290628706998,61.06871247348052,5.983425414364641,22.065193370165748,14.024309392265192,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
NC,2024-04-25,0.4347126436781609,67.76708177896347,7.655,22.75722222222222,15.206111111111111,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
NC,2024-04-26,0.0553293413173652,73.6056549775929,8.508839779005525,21.81878453038674,15.163812154696132,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2024-04-27,0.5978494623655913,73.2528412924431,10.811299435028248,20.72316384180791,15.76723163841808,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2024-04-28,0.0366421568627451,73.9778482146869,11.890395480225989,23.91242937853108,17.90141242937853,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2024-04-29,0.0013253012048192,68.20018745162832,12.636723163841808,25.83728813559322,19.23700564971752,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2024-04-30,0.2304921968787515,72.0998833296525,13.59494382022472,26.25449438202247,19.9247191011236,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
NC,2024-05-01,2.170898876404494,70.50621400661451,14.037078651685391,26.17752808988764,20.10730337078652,17.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0
NC,2024-05-02,1.1971698113207547,68.36170459138279,12.933142857142858,28.416571428571427,20.674857142857142,10.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0
NC,2024-05-03,0.1447272727272727,73.0697102745045,14.025568181818182,29.063068181818185,21.544318181818184,17.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0
NC,2024-05-04,4.063012048192771,86.73637163148179,15.45632183908046,26.121142857142857,20.774425287356323,22.0,6.0,15.0,0.0,0.0,0.0,2.0,0.0
NC,2024-05-05,18.836574074074072,87.68441857349066,16.490697674418605,24.23352601156069,20.342151162790696,17.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0
NC,2024-05-06,8.054846335697398,87.64279220369002,17.221348314606743,25.458988764044943,21.340168539325845,24.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0
NC,2024-05-07,9.613636363636363,82.60159124548208,16.868156424581006,26.707262569832405,21.787709497206706,18.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0
NC,2024-05-08,1.3629847238542891,79.14681480223668,17.789204545454545,28.775706214689265,23.286931818181817,13.0,0.0,18.0,0.0,1.0,0.0,2.0,0.0
NC,2024-05-09,15.148743169398909,82.54109302118964,17.33463687150838,27.46536312849162,22.4,12.0,0.0,23.0,0.0,4.0,0.0,1.0,3.0
NC,2024-05-10,2.801090909090909,76.69948038055313,14.902808988764043,25.883798882681564,20.403651685393257,9.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0
NC,2024-05-11,3.972093023255814,65.92752874765841,9.244252873563218,23.698275862068964,16.481502890173413,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
NC,2024-05-12,0.1572139303482587,59.29780330986538,9.584883720930232,23.177325581395348,16.38110465116279,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2024-05-13,0.060253164556962,67.90358016454297,9.549152542372882,23.857954545454547,16.702272727272728,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2024-05-14,4.515885714285714,88.38105706989953,13.27640449438202,21.528651685393257,17.402528089887642,19.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
NC,2024-05-15,26.0103711790393,90.30988600858312,15.498351648351647,22.38729281767956,18.95497237569061,28.0,4.0,12.0,0.0,0.0,0.0,5.0,0.0
NC,2024-05-16,9.923891891891891,80.39078168096832,15.057777777777778,24.734269662921346,19.89943820224719,22.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0
NC,2024-05-17,0.4421930870083432,83.51639188810343,14.743016759776536,25.48820224719101,20.125842696629213,13.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
NC,2024-05-18,8.300224215246637,87.85635618325679,16.115517241379308,24.70632183908046,20.427745664739884,20.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
NC,2024-05-19,11.31172491544532,85.53692201734384,15.0757225433526,24.12543352601156,19.60057803468208,25.0,1.0,15.0,0.0,2.0,0.0,0.0,1.0
NC,2024-05-20,0.8829964328180737,79.19077725993974,13.927586206896551,24.304,19.121839080459768,15.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
NC,2024-05-21,0.071907514450867,76.32391613953413,13.568539325842696,26.408988764044945,19.98876404494382,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2024-05-22,0.0714953271028037,73.06138138619487,14.520111731843574,28.185474860335194,21.352793296089384,14.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2024-05-23,0.4399529964747355,73.31909570982646,16.605555555555554,29.259444444444444,22.9325,10.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
