STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11
ND,2024-01-01,0.0052173913043478,87.43308253636549,-10.269333333333334,-0.0813333333333333,-5.175333333333333,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ND,2024-01-02,0.0041666666666666,91.7089975788655,-8.028205128205128,2.551282051282051,-2.7384615384615385,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-01-03,0.0137931034482758,87.16277845185355,-8.911688311688312,-1.422077922077922,-5.166883116883117,7.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
ND,2024-01-04,0.0161016949152542,91.26940276570016,-9.443037974683543,-5.083544303797469,-7.263291139240506,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-01-05,0.2165217391304347,95.89355300338993,-7.863291139240506,-2.948101265822785,-5.4056962025316455,19.0,4.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0
ND,2024-01-06,0.9614035087719298,93.68195666120026,-10.279487179487178,-3.330769230769231,-6.805128205128205,9.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
ND,2024-01-07,0.0721739130434782,92.70906490374573,-13.344155844155845,-7.132467532467533,-10.238311688311688,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ND,2024-01-08,0.5089285714285714,89.36863556789724,-16.754430379746836,-9.606329113924051,-13.180379746835444,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ND,2024-01-09,0.2696428571428571,87.9224993866959,-19.357142857142858,-8.13974358974359,-13.776623376623377,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
ND,2024-01-10,0.5646551724137931,87.29671474344599,-18.40384615384616,-5.5886075949367084,-12.00448717948718,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
ND,2024-01-11,0.0898305084745762,77.43544817893492,-22.994871794871795,-12.226923076923075,-17.61089743589744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0
ND,2024-01-12,0.0758928571428571,75.33517133295919,-26.843589743589742,-19.67948717948718,-23.261538461538464,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0
ND,2024-01-13,0.6560747663551402,71.96113097069775,-31.46923076923077,-23.71298701298701,-27.575974025974023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0
ND,2024-01-14,0.163063063063063,69.24327429066682,-31.98701298701299,-25.45714285714286,-28.72207792207792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
ND,2024-01-15,0.0,68.43998724845767,-29.85194805194805,-22.6974025974026,-26.274675324675325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0
ND,2024-01-16,0.0133333333333333,60.94939332289143,-26.08846153846154,-17.828205128205127,-21.95833333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
ND,2024-01-17,0.0166666666666666,69.47714165938757,-21.940506329113923,-14.122784810126582,-18.03164556962025,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ND,2024-01-18,0.3153846153846154,75.54926751254625,-21.54230769230769,-15.628205128205128,-18.585256410256413,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0
ND,2024-01-19,0.2816666666666666,75.80056266598359,-22.64025974025974,-16.62077922077922,-19.63051948051948,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
ND,2024-01-20,0.0182608695652173,80.59859575530479,-23.80921052631579,-13.530263157894735,-18.669736842105262,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
ND,2024-01-21,0.1152542372881356,80.20408510797566,-17.532467532467532,-7.61038961038961,-12.571428571428571,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
ND,2024-01-22,0.325,89.39417727358048,-11.184415584415586,-5.362337662337662,-8.273376623376622,10.0,1.0,0.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0
ND,2024-01-23,0.2,93.94975422835844,-10.077215189873415,-4.751898734177215,-7.414556962025316,18.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
ND,2024-01-24,0.0108333333333333,94.52021172409142,-9.065822784810129,-1.3645569620253164,-5.215189873417722,19.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ND,2024-01-25,0.0,94.75516274363233,-9.130379746835445,-0.1797468354430379,-4.655063291139241,28.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ND,2024-01-26,0.0024793388429752,92.27064229613934,-8.7873417721519,0.8734177215189873,-3.956962025316456,13.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ND,2024-01-27,0.0,87.71324173741598,-8.553246753246754,4.124675324675325,-2.2142857142857144,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ND,2024-01-28,0.0,86.53933362706584,-6.297435897435897,6.211538461538462,-0.0429487179487179,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-01-29,0.008130081300813,86.12756709863304,-3.249367088607595,7.113924050632911,1.9322784810126583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-01-30,0.0,90.55484907772832,-3.5443037974683542,8.660759493670886,2.5582278481012657,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ND,2024-01-31,0.0,82.7029869181852,-2.921518987341772,11.025316455696204,4.051898734177216,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-02-01,0.0066666666666666,89.4464082897891,-2.9223684210526315,10.05921052631579,3.568421052631579,18.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
ND,2024-02-02,0.0,96.40186956070872,-2.3907894736842104,5.602666666666667,1.6233333333333333,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-02-03,0.0436974789915966,97.86918594093964,-0.6893333333333334,2.948,1.1293333333333333,29.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-02-04,0.0482758620689655,98.10885536420494,-0.3266666666666666,2.656,1.1646666666666663,29.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-02-05,0.0447154471544715,96.83633767870718,-0.7428571428571429,3.624675324675325,1.440909090909091,28.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ND,2024-02-06,0.0090163934426229,96.73874816785384,-1.2223684210526315,3.4171052631578944,1.0973684210526315,28.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ND,2024-02-07,0.2830508474576271,97.37632851360702,-1.3907894736842106,2.0644736842105265,0.3368421052631579,29.0,6.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0
ND,2024-02-08,2.6083333333333334,96.34782011156892,-3.236842105263158,0.7473684210526316,-1.2447368421052631,18.0,2.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,0.0
ND,2024-02-09,2.5391304347826087,92.1170760187001,-5.78421052631579,-1.738157894736842,-3.761184210526316,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
ND,2024-02-10,0.1083333333333333,87.93514256637559,-8.496052631578948,-2.8144736842105265,-5.655263157894737,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ND,2024-02-11,0.0175,85.80941075792092,-11.95921052631579,-0.5157894736842105,-6.2375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-02-12,0.0059829059829059,87.30881540847088,-8.514666666666667,2.072,-3.2213333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-02-13,0.1084033613445378,91.0087118787366,-7.483999999999999,1.82,-2.8320000000000003,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-02-14,0.0440677966101694,81.13731478169177,-10.112,-0.5906666666666667,-5.351333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-02-15,0.0,82.11880746671174,-14.74342105263158,-4.647368421052631,-9.695394736842106,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-02-16,0.007563025210084,75.61818696231276,-19.044736842105262,-6.623684210526315,-12.83421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-02-17,0.0024390243902439,61.98490637660641,-15.13421052631579,-2.088157894736842,-8.611184210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-02-18,0.0,69.83233148685827,-11.423684210526316,3.0631578947368423,-4.1802631578947365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-02-19,0.0,78.62372519628187,-10.437333333333331,3.741333333333334,-3.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-02-20,0.0,79.9067175478144,-11.332894736842103,5.2250000000000005,-3.0539473684210527,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-02-21,0.0,79.0452165785084,-7.101333333333334,7.974666666666667,0.4366666666666666,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ND,2024-02-22,0.0,82.33033855529084,-4.616,9.716,2.55,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
ND,2024-02-23,0.0048780487804878,81.07467140872055,-5.422972972972973,6.2662162162162165,0.4216216216216216,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-02-24,0.0194915254237288,74.71015921839627,-5.4828947368421055,6.047368421052632,0.2822368421052632,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-02-25,0.3440677966101695,83.58797225971641,-4.182666666666666,7.1386666666666665,1.478,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-02-26,0.9198198198198198,77.66467445347105,-6.468,8.618666666666666,1.0753333333333333,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
ND,2024-02-27,3.4,80.55106149653353,-18.574666666666666,2.933333333333333,-7.820666666666666,6.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0
ND,2024-02-28,0.4887931034482758,72.32463886492829,-22.10921052631579,-9.451315789473684,-15.780263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-02-29,0.0026086956521739,73.79448827490653,-16.04133333333333,0.456,-7.792666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-03-01,0.0198275862068965,74.22801148201253,-7.044736842105263,7.897368421052632,0.4263157894736842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-03-02,0.7073394495412844,85.26528156375323,-5.198648648648648,5.675675675675675,0.2385135135135135,8.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
ND,2024-03-03,2.4703703703703703,92.70778327342512,-8.578666666666667,-0.56,-4.569333333333333,9.0,5.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0
ND,2024-03-04,3.200892857142857,74.38950356959155,-15.956578947368422,-3.62,-9.783333333333331,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-03-05,0.2975,77.65514232982937,-16.616,-6.942666666666668,-11.779333333333334,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ND,2024-03-06,0.8600000000000001,83.30385652359908,-14.394666666666666,-4.777333333333334,-9.586,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-03-07,0.680672268907563,79.9363030876193,-16.767999999999997,-3.8613333333333335,-10.314666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-03-08,0.0042016806722689,77.83660211020663,-15.525,-2.276315789473684,-8.900657894736844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-03-09,0.0,77.99846841166736,-12.960526315789474,3.2710526315789474,-4.844736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-03-10,0.0,68.55006818962035,-6.610526315789474,9.411842105263156,1.4006578947368422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-03-11,0.0,69.0300783790327,-2.5381578947368424,12.80921052631579,5.135526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-03-12,0.0,75.40106734712361,-2.074025974025974,13.002597402597404,5.464285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-03-13,0.0190082644628099,81.36559553579566,-1.5855263157894737,12.33421052631579,5.374342105263158,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-03-14,0.125,92.0322495601732,-1.7025974025974024,8.636363636363637,3.4668831168831167,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-03-15,0.0442622950819672,77.6896700288294,-3.4220779220779223,7.811688311688312,2.1948051948051948,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-03-16,0.0,70.93149347294528,-4.542857142857143,8.875324675324675,2.1662337662337663,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-03-17,0.0423728813559322,69.72048649282583,-9.206666666666669,1.149333333333333,-4.028666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-03-18,0.0282051282051282,65.39988672468478,-10.950666666666669,5.265333333333333,-2.8426666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-03-19,0.0,71.60929879997994,-8.422368421052632,10.43815789473684,1.0078947368421054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
ND,2024-03-20,0.1398305084745762,66.73389335995633,-11.490666666666666,1.8539473684210528,-4.798666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-03-21,0.9837606837606836,77.58092716870104,-10.68961038961039,-3.2818181818181817,-6.985714285714286,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-03-22,1.5024390243902437,74.60964683067512,-12.52987012987013,-3.103896103896104,-7.816883116883116,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ND,2024-03-23,0.2741379310344827,73.48923806921486,-12.85,-3.148684210526316,-7.999342105263159,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ND,2024-03-24,1.7616071428571427,84.90113825283672,-10.653947368421052,-3.7302631578947367,-7.192105263157895,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
ND,2024-03-25,2.2086206896551723,70.46847963911954,-12.112,-4.053333333333334,-8.082666666666666,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
ND,2024-03-26,0.1760330578512396,73.8026524263217,-16.32894736842105,-4.419736842105263,-10.37434210526316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
ND,2024-03-27,0.0369747899159663,73.2129528678445,-16.738666666666667,-3.566666666666667,-10.152666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ND,2024-03-28,0.0538461538461538,66.11223857210135,-14.04736842105263,0.6263157894736842,-6.7105263157894735,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ND,2024-03-29,0.9372881355932204,78.23330737322632,-7.4907894736842096,2.9342105263157894,-2.2782894736842105,6.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
ND,2024-03-30,0.343859649122807,82.73653296928883,-4.678947368421053,1.6078947368421053,-1.5355263157894736,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ND,2024-03-31,0.2552631578947368,76.11185905937977,-6.632,2.132,-2.25,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-04-01,0.0255813953488372,68.78124663472843,-6.181818181818182,5.242857142857143,-0.4694805194805194,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-04-02,0.0,65.69689611585483,-4.25921052631579,8.371052631578948,2.0559210526315788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-04-03,0.0,64.07248893735577,-4.638961038961039,11.18051948051948,3.270779220779221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-04-04,0.0,56.28438571385349,-3.363636363636364,13.251948051948052,4.944155844155844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-04-05,0.0,48.22207710290483,-1.1363636363636365,14.806493506493505,6.835064935064935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-04-06,0.0037593984962406,54.05629820072266,0.9974025974025974,15.576623376623376,8.287012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-04-07,1.5954545454545457,66.42696940184139,0.9155844155844156,12.525974025974026,6.720779220779221,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-04-08,5.035761589403974,81.94899674323692,0.0723684210526315,8.694736842105263,4.383552631578947,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-04-09,0.8342657342657342,67.72469694126161,0.3389610389610389,13.44025974025974,6.8896103896103895,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-04-10,0.3360294117647059,63.77834045028263,1.1675324675324676,15.892207792207794,8.52987012987013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-04-11,0.8678082191780823,63.25045656928214,-0.8233766233766233,13.9,6.538311688311688,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-04-12,0.3503597122302158,56.18893041141596,-2.685714285714286,16.041558441558443,6.677922077922078,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-04-13,0.0186567164179104,46.31743872476628,1.3545454545454545,20.97402597402597,11.164285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-04-14,0.0,48.1980375047236,1.5467532467532468,22.91818181818181,12.232467532467531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-04-15,0.626950354609929,50.11253103802971,4.425,18.806578947368426,11.61578947368421,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-04-16,7.214465408805031,76.51597531055737,4.231168831168831,14.066233766233765,9.1487012987013,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-04-17,9.984146341463417,80.0842483736686,1.4922077922077923,9.511688311688312,5.501948051948052,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2024-04-18,0.0755102040816326,68.20193349229336,-2.7373333333333334,6.566666666666666,1.9146666666666663,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2024-04-19,0.1319148936170213,71.54521614005625,-5.58,2.56,-1.51,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
