STATE,DATE,TAVG,TMAX,PRCP,RH,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
NC,2006-01-01,7.526519337016574,15.247802197802198,0.3424731182795699,56.64391810756915,-0.1806629834254143,7.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC,2006-01-02,8.914444444444444,14.76923076923077,6.272677595628416,78.91904165077894,3.037777777777777,31.0,10.0,31.0,0.0,0.0,0.0,2.0,1.0,7.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0
NC,2006-01-03,9.870923913043478,14.145108695652173,13.104444444444445,85.19778636524408,5.596739130434782,34.0,8.0,21.0,0.0,0.0,0.0,3.0,0.0,7.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
NC,2006-01-04,7.670161290322581,13.016666666666666,0.4436170212765958,81.38556067663772,2.3236559139784947,25.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NC,2006-01-05,8.567473118279569,14.3247311827957,0.2222222222222222,75.19616530579886,2.810215053763441,31.0,8.0,4.0,2.0,1.0,1.0,8.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
NC,2006-01-06,5.889784946236559,11.455913978494625,1.4119565217391306,66.46804851147077,0.3236559139784946,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0
NC,2006-01-07,1.419836956521739,7.32391304347826,0.1144385026737967,59.17448430453829,-4.496216216216216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2006-01-08,4.311813186813187,11.363736263736262,0.0,55.75539421851162,-2.74010989010989,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2006-01-09,10.081351351351351,17.174054054054054,0.0209677419354838,64.26857466213137,2.9886486486486485,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2006-01-10,11.619354838709675,18.16470588235294,0.1984042553191489,80.70263654181382,5.066129032258064,39.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2006-01-11,12.202673796791444,18.15668449197861,3.343850267379679,82.09285252084767,6.248663101604278,45.0,11.0,9.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
NC,2006-01-12,12.064095744680852,19.16968085106383,2.6784946236559137,81.67718806610058,4.958510638297873,48.0,17.0,2.0,0.0,0.0,1.0,4.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
