STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT15,WT18
CO,2019-01-12,-4.745694444444444,7.148823016564953,87.67163107350294,-9.472054794520549,-0.1077348066298342,31.0,9.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
CO,2019-01-13,-6.528770949720671,0.4190883190883191,83.7823180762798,-12.863812154696133,-0.2623268698060942,33.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CO,2019-01-14,-6.382916666666667,0.2921401515151515,72.17362287595745,-13.768044077134986,0.9721763085399447,26.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
CO,2019-01-15,-4.396814404432133,0.4863593603010348,63.66106995813779,-11.910164835164837,3.0803867403314915,13.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CO,2019-01-16,-2.0509615384615385,1.8608007448789567,72.01916145306467,-7.366032608695652,3.213698630136986,17.0,7.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
CO,2019-01-17,-1.0085399449035812,1.2650557620817844,66.88497495980332,-6.997554347826087,4.916253443526171,24.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0
CO,2019-01-18,-2.423698630136986,3.604491292392301,74.21558821597095,-7.894308943089431,3.004109589041096,33.0,10.0,1.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0
CO,2019-01-19,-5.380357142857143,2.381064021641118,71.60439606449904,-11.988555858310628,1.1704918032786884,16.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CO,2019-01-20,-1.86771978021978,0.0833333333333333,67.26747571585018,-8.41680216802168,4.685989010989011,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
CO,2019-01-21,-2.050139275766017,0.6002906976744186,67.40531277132571,-8.793150684931506,4.593055555555556,28.0,10.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
CO,2019-01-22,-7.113397790055249,2.948717948717949,73.3191741425912,-13.368852459016392,-0.962258953168044,25.0,7.0,1.0,0.0,0.0,3.0,0.0,9.0,4.0,0.0,6.0,0.0,0.0
CO,2019-01-23,-9.340331491712709,0.8157303370786516,64.7948468421702,-16.280054644808743,-2.4184065934065933,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0
CO,2019-01-24,-7.3712707182320445,1.5525932666060054,74.46175713283988,-13.088186813186814,-1.728021978021978,18.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0
CO,2019-01-25,-7.441551246537396,1.5932432432432433,70.6142612200156,-13.227322404371584,-1.6911602209944752,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CO,2019-01-26,-6.125,0.2454194792671166,64.46260636752831,-12.530434782608696,0.2489010989010988,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
CO,2019-01-27,-3.310497237569061,0.1005819592628516,61.45642026331769,-9.887465940054495,3.2171270718232043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
CO,2019-01-28,-6.017451523545707,1.3954995499549954,67.01753211441249,-13.266032608695651,1.153443526170799,18.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
CO,2019-01-29,-8.529362880886426,0.9662790697674418,64.08736905191844,-16.166483516483517,-0.9148760330578511,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
CO,2019-01-30,-7.48625,0.0990817263544536,57.23685204329441,-16.143406593406592,1.15,14.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
