STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
NC,2017-01-01,5.213461538461538,2.1250347705146035,72.3802574223051,0.5382513661202186,9.953513513513514,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2017-01-02,9.754324324324324,19.21286089238845,97.13859251344716,6.897837837837837,12.617741935483872,30.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0
NC,2017-01-03,11.373809523809523,16.349491094147584,97.19167592162655,8.462962962962964,14.278645833333334,33.0,8.0,3.0,0.0,0.0,0.0,2.0,0.0
NC,2017-01-04,10.5,1.811503267973856,80.65708105859288,5.888144329896907,15.142564102564103,20.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-01-05,4.872020725388601,0.0540616246498599,55.98521897561815,-1.446113989637306,11.190155440414507,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
NC,2017-01-06,2.945,0.6967877094972067,69.9961817674315,-0.7403141361256544,6.616842105263158,11.0,0.0,1.0,5.0,0.0,3.0,1.0,0.0
NC,2017-01-07,-1.4922043010752688,17.00481203007519,86.9306222598141,-5.728877005347593,2.7898936170212765,14.0,0.0,0.0,14.0,0.0,12.0,3.0,1.0
NC,2017-01-08,-6.817287234042554,1.8846761453396528,60.23672484960522,-11.60846560846561,-1.995238095238096,3.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0
NC,2017-01-09,-6.595789473684211,0.0848024316109422,61.57118556436527,-12.071502590673576,-1.0873684210526315,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
NC,2017-01-10,-2.138031914893617,0.1062314540059347,66.83248553419021,-8.667015706806284,4.352380952380953,8.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0
NC,2017-01-11,5.341578947368421,1.1846675712347354,86.70649680794855,-0.8226315789473685,11.474869109947644,16.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-01-12,11.763471502590674,0.2925770308123249,82.14458411988866,6.141450777202072,17.385492227979274,17.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-01-13,14.733762886597937,0.0274170274170274,77.76664364136958,8.015463917525773,21.452061855670102,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-01-14,12.31675392670157,0.2816023738872403,74.1570681112072,6.476439790575916,18.172395833333333,12.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2017-01-15,9.98157894736842,0.6056547619047619,82.30333809504795,5.742105263157895,14.221052631578948,18.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-01-16,10.426302083333333,0.4555395683453238,79.73614003647162,6.427083333333333,14.425520833333332,17.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2017-01-17,11.057853403141362,0.2099431818181818,88.37114294630899,7.335602094240837,14.778125,24.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-01-18,13.30541237113402,0.9443994601889338,69.16987786868567,7.695876288659794,18.937244897959182,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-01-19,10.243401015228429,0.2430575035063114,70.97629101903924,2.331472081218274,18.155329949238578,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-01-20,10.65,3.3736486486486488,85.31755053426372,4.358854166666666,16.944502617801046,18.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2017-01-21,11.973421052631576,2.1208806818181816,97.0133303906366,8.094736842105263,15.864921465968584,40.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0
NC,2017-01-22,12.35625,8.753743315508022,96.0303116294781,10.109375,14.603125,32.0,6.0,7.0,0.0,0.0,0.0,1.0,1.0
NC,2017-01-23,11.595595854922278,26.524550128534703,88.5443802210581,8.388082901554405,14.824226804123713,23.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0
NC,2017-01-24,9.47989417989418,4.169251336898395,73.25828376051066,4.434736842105263,14.536125654450265,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-01-25,9.778497409326423,0.0740056818181818,63.36578542326705,1.615463917525773,17.94381443298969,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-01-26,11.862239583333334,0.8358725761772853,55.717461205224666,3.5453125,20.177319587628865,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2017-01-27,6.458201058201058,0.4085294117647059,54.33859332176961,-0.8239583333333332,13.762631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2017-01-28,3.338829787234043,0.0234398782343987,56.18476511659959,-2.723157894736842,9.394148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2017-01-29,4.357105263157895,0.0120845921450151,53.323254624167376,-1.5481675392670156,10.25578947368421,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-01-30,3.4682291666666667,0.5383620689655172,50.18562031847932,-2.04375,8.980208333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
NC,2017-01-31,5.402673796791444,0.0013062409288824,45.16566908527925,-2.4223404255319148,13.231550802139038,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0
NC,2017-02-01,11.063144329896907,0.0018439716312056,56.45470553841431,2.4587628865979383,19.67794871794872,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
NC,2017-02-02,11.306020942408376,0.1816643159379407,64.14382940377214,4.034554973821989,18.6078125,4.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0
NC,2017-02-03,7.709259259259259,1.123841059602649,68.40043845740794,2.5015873015873016,12.916931216931218,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
NC,2017-02-04,1.0207894736842105,0.4859011627906976,44.82454767302141,-4.807329842931938,6.865263157894737,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
NC,2017-02-05,3.500261780104712,0.2141833810888252,57.58292020994057,-3.584293193717277,10.6046875,2.0,0.0,0.0,12.0,0.0,7.0,1.0,0.0
NC,2017-02-06,7.86282722513089,0.0847041847041847,63.90600215314922,-0.7801047120418848,16.519170984455958,12.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0
NC,2017-02-07,11.837434554973822,0.2762857142857143,67.94793477100025,3.5,20.17616580310881,14.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2017-02-08,14.78193717277487,4.947820512820513,81.14614628634989,8.83717277486911,20.756476683937823,34.0,6.0,10.0,1.0,0.0,0.0,1.0,0.0
NC,2017-02-09,10.45979381443299,8.269974554707378,64.73660319099946,3.502577319587629,17.41701030927835,15.0,0.0,15.0,1.0,0.0,1.0,1.0,1.0
NC,2017-02-10,2.8440104166666664,0.2532763532763533,43.45807382600179,-4.232124352331606,9.9279792746114,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
NC,2017-02-11,8.325531914893617,0.0455772113943028,51.47792302899322,0.3664893617021276,16.26031746031746,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-02-12,16.125797872340424,0.0715350223546944,65.6835214761229,9.074468085106384,23.164210526315788,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2017-02-13,12.724210526315789,0.7166902404526166,37.89382876860376,3.956315789473684,21.54895833333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2017-02-14,7.110209424083769,0.0403156384505021,49.990528393491495,-1.5401041666666666,15.7717277486911,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
NC,2017-02-15,8.120052083333333,3.9484251968503936,69.94245951056429,1.1466321243523316,15.078645833333333,15.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
NC,2017-02-16,5.55440414507772,8.03587385019711,47.05696007594377,-1.0247422680412372,12.133160621761656,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC,2017-02-17,6.797135416666666,0.0086705202312138,51.16440052652112,-0.8406250000000001,14.434895833333334,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
NC,2017-02-18,10.612303664921466,0.0085545722713864,54.26396222467607,1.7774869109947644,19.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-02-19,12.3656914893617,0.1385074626865671,62.13011423801181,4.63404255319149,20.097340425531915,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-02-20,12.37263157894737,0.0205882352941176,60.76864030329492,3.958421052631579,20.78684210526316,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
NC,2017-02-21,12.34140625,0.0343108504398827,65.98777499230492,4.503645833333334,20.179166666666667,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-02-22,12.956020942408376,0.8233333333333333,75.93772630315972,7.090575916230367,18.810416666666665,11.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-02-23,14.800260416666667,0.9919770773638968,76.27543767691981,9.219791666666667,20.39015544041451,20.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2017-02-24,15.840575916230367,0.0560407569141193,76.5153276102399,8.364583333333334,23.32513089005236,18.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-02-25,15.814021164021163,0.484070796460177,70.29669139226354,7.7063492063492065,23.92169312169312,10.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0
NC,2017-02-26,9.546073298429318,0.3604411764705882,39.0303244760962,0.3157068062827225,18.8234375,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
NC,2017-02-27,7.4328125,0.0077922077922077,55.89002316562063,-0.7425641025641027,15.5734375,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
NC,2017-02-28,12.016402116402116,0.5898716119828816,69.0397061353716,4.461052631578948,19.558638743455496,6.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
NC,2017-03-01,16.688860103626943,3.3335989375830013,78.51258777691015,10.244559585492228,23.14974358974359,13.0,0.0,16.0,0.0,1.0,0.0,3.0,1.0
NC,2017-03-02,12.740561224489795,14.067068757539204,52.76956388819625,4.902551020408163,20.57857142857143,7.0,0.0,28.0,0.0,2.0,0.0,1.0,2.0
NC,2017-03-03,5.958974358974359,0.0505633802816901,46.83164639393773,-0.9497435897435896,12.867692307692309,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC,2017-03-04,3.985526315789474,0.0042584434654919,42.618570862594645,-3.636315789473684,11.607368421052632,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
NC,2017-03-05,4.9875,0.0023357664233576,55.02375109843362,-2.5500000000000003,12.525,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
NC,2017-03-06,7.276142131979696,0.1231404958677686,66.00233434643893,-0.3116751269035533,14.863959390862943,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2017-03-07,11.69051282051282,0.1573002754820936,68.7270370273912,4.823076923076923,18.585204081632654,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2017-03-08,13.58948717948718,2.008556832694764,55.05216032904838,7.063589743589744,20.134693877551022,5.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
NC,2017-03-09,11.794041450777202,0.111484593837535,40.73101109162277,2.303626943005181,21.28659793814433,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
NC,2017-03-10,12.452083333333334,2.901078167115903,52.51992516922227,3.673958333333333,21.260309278350515,7.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0
NC,2017-03-11,7.04502617801047,0.2801481481481481,41.08385926734736,-0.6732984293193717,14.816666666666668,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
NC,2017-03-12,3.808072916666666,2.39985294117647,59.5030463681106,-1.384102564102564,8.995833333333334,12.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
NC,2017-03-13,3.009375,2.5875714285714286,77.59302226247001,-2.6854922279792746,8.718229166666667,15.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0
NC,2017-03-14,4.1174358974358976,19.641603053435112,80.42600132080959,-1.3882051282051282,9.623076923076924,13.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
