STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
TX,2013-01-01,3.369133192389006,8.387209302325582,13.405285412262156,6.20043076923077,84.41397834114134,68.0,4.0,4.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,26.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0
TX,2013-01-02,-0.429460580912863,4.209563409563409,8.880705394190871,0.6759526938239159,76.25060775510387,28.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,9.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0
TX,2013-01-03,-1.7661855670103093,2.885979381443299,7.536419753086419,0.7139869281045752,73.18349084934152,22.0,4.0,0.0,4.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,11.0,0.0,12.0,0.0,4.0,0.0,0.0,2.0
TX,2013-01-04,0.00418410041841,3.59163179916318,7.180416666666667,1.7807499999999998,73.28435091792544,37.0,2.0,0.0,8.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,18.0,2.0,27.0,0.0,8.0,2.0,0.0,0.0
TX,2013-01-05,0.7348008385744235,4.455555555555556,8.176310272536687,2.49000624609619,78.92524791397949,62.0,4.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,24.0,2.0,23.0,0.0,0.0,0.0,0.0,3.0
TX,2013-01-06,-1.0665263157894738,5.672151898734177,12.41181434599156,1.193455497382199,70.6706356358032,54.0,16.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
TX,2013-01-07,-1.6227083333333332,5.948851774530271,13.53402489626556,0.0571901921802518,68.40447010846859,22.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
TX,2013-01-08,2.0665280665280665,7.589039665970772,13.117954070981211,4.014498806682577,81.93472980290544,75.0,10.0,50.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,22.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0
TX,2013-01-09,6.865822784810127,10.34598308668076,13.816631578947367,39.36021384355656,92.50556401928016,75.0,3.0,48.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,33.0,1.0,36.0,1.0,1.0,1.0,0.0,0.0
TX,2013-01-10,6.852390852390853,10.833783783783783,14.815176715176715,16.281315483119908,83.97206348508253,90.0,13.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,24.0,4.0,19.0,0.0,0.0,1.0,0.0,0.0
TX,2013-01-11,6.077338877338877,12.2975051975052,18.51767151767152,0.089751958224543,76.0954818233562,45.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,21.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
TX,2013-01-12,6.623354564755839,13.479830148619955,20.32198731501057,0.5307096774193548,81.66396688925803,68.0,13.0,11.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,23.0,2.0,20.0,0.0,4.0,1.0,0.0,0.0
TX,2013-01-13,0.4773784355179704,7.388372093023255,14.301052631578948,2.5742315238718114,71.77800008938945,24.0,0.0,22.0,4.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,11.0,1.0,15.0,0.0,3.0,0.0,0.0,0.0
TX,2013-01-14,-1.558125,3.1465625,7.85207468879668,0.6548967355096602,67.37733896959412,21.0,0.0,4.0,9.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,8.0,1.0,10.0,2.0,4.0,3.0,0.0,0.0
TX,2013-01-15,-1.7275933609958507,1.8602697095435683,5.44368530020704,0.9676214196762142,76.68304545164526,45.0,0.0,16.0,16.0,1.0,7.0,0.0,7.0,0.0,0.0,0.0,19.0,4.0,19.0,3.0,9.0,6.0,0.0,0.0
