STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT22
MI,2013-01-01,-9.6005,-5.7010000000000005,-1.7761194029850746,0.1900900900900901,76.80401172394484,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
MI,2013-01-02,-10.47135922330097,-7.404368932038834,-4.327053140096619,0.0820895522388059,81.12974871492638,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
MI,2013-01-03,-8.679904306220095,-6.047846889952153,-3.41,0.3207492795389048,83.37488011765825,6.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0
MI,2013-01-04,-6.885024154589372,-4.251207729468599,-1.6129186602870815,0.0477272727272727,80.31224970767069,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
MI,2013-01-05,-8.799507389162562,-4.2349753694581285,0.3263414634146341,0.0652046783625731,84.14794395041598,17.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0
MI,2013-01-06,-6.53,-2.6952261306532663,1.1835,1.3449704142011834,87.67966726141667,14.0,0.0,0.0,1.0,0.0,5.0,19.0,0.0,0.0,0.0,9.0,1.0,0.0,5.0,1.0,12.0,5.0,0.0
MI,2013-01-07,-5.37843137254902,-2.1230392156862745,1.137560975609756,0.265680473372781,78.6983298634368,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,2013-01-08,-4.826794258373205,-0.8124401913875599,3.1981042654028435,0.0025423728813559,81.54807984699984,14.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MI,2013-01-09,-3.723809523809524,0.4102380952380953,4.533018867924528,0.2002824858757062,77.98427582846698,10.0,2.0,0.0,1.0,0.0,1.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,5.0,1.0,1.0
MI,2013-01-10,-5.790243902439024,-0.2341463414634146,5.3442307692307685,0.2918079096045197,79.10858018758523,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
MI,2013-01-11,-3.1401913875598084,1.702870813397129,6.541706161137441,13.340860215053764,90.84132141617636,48.0,11.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,12.0,1.0,0.0,3.0,0.0
MI,2013-01-12,2.12,6.226633165829146,10.366169154228857,1.578125,86.24855204224343,42.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0
MI,2013-01-13,-1.7924242424242425,3.502020202020202,8.806467661691542,8.091525423728815,88.69307665060049,21.0,1.0,0.0,6.0,0.0,19.0,4.0,0.0,0.0,0.0,8.0,3.0,0.0,10.0,3.0,11.0,4.0,2.0
MI,2013-01-14,-8.507843137254902,-4.595273631840796,-0.6297029702970297,2.9298850574712643,82.35042823325824,4.0,0.0,0.0,2.0,0.0,7.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0
MI,2013-01-15,-11.445893719806763,-7.408536585365853,-3.362135922330097,0.1008522727272727,80.33412862609964,10.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0
MI,2013-01-16,-10.241747572815536,-5.724514563106796,-1.2173076923076922,0.1340845070422535,80.13324271701947,7.0,2.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,9.0,2.0,2.0
MI,2013-01-17,-10.58708133971292,-5.641866028708135,-0.6611374407582938,0.7362606232294617,77.29819718123132,4.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0,1.0,1.0
MI,2013-01-18,-13.202392344497609,-8.194258373205741,-3.165714285714285,0.6054285714285714,76.44379081018182,3.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0
MI,2013-01-19,-9.149253731343284,-3.633084577114428,1.9108374384236453,1.5252225519287834,78.96296576194017,7.0,3.0,4.0,0.0,0.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,7.0,0.0,2.0
MI,2013-01-20,-11.404020100502512,-4.26439393939394,2.912562814070352,1.9702064896755165,75.78248038136351,5.0,5.0,7.0,5.0,1.0,1.0,5.0,5.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,12.0,2.0,5.0
MI,2013-01-21,-15.19009900990099,-11.925999999999998,-8.616915422885572,1.20748502994012,76.55368161711417,10.0,7.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0
MI,2013-01-22,-20.218840579710147,-16.161893203883494,-12.07246376811594,1.763173652694611,75.41231939787113,7.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0
MI,2013-01-23,-19.39904306220096,-15.798325358851674,-12.187142857142858,0.9914529914529916,78.82404747634614,11.0,1.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0
MI,2013-01-24,-18.84630541871921,-14.22807881773399,-9.602926829268291,1.9828488372093025,78.28421470810027,13.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
MI,2013-01-25,-16.5747572815534,-12.413349514563109,-8.25,0.964179104477612,80.7696920910565,15.0,4.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,6.0
MI,2013-01-26,-12.087562189054726,-8.593781094527364,-5.094059405940594,2.1628125,83.48403513490697,16.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0
MI,2013-01-27,-11.415463917525772,-6.885309278350515,-2.348717948717949,0.7445820433436533,82.33323467837634,15.0,4.0,1.0,7.0,0.0,6.0,9.0,0.0,0.0,0.0,7.0,1.0,0.0,8.0,7.0,12.0,0.0,2.0
MI,2013-01-28,-6.059605911330049,-2.1888613861386137,1.6759803921568626,9.29156976744186,93.81464498069388,40.0,14.0,1.0,11.0,0.0,27.0,5.0,0.0,0.0,0.0,5.0,4.0,0.0,9.0,7.0,5.0,2.0,2.0
MI,2013-01-29,-0.8690821256038648,2.4932367149758456,5.870192307692308,9.78631284916201,94.85668462743963,57.0,19.0,25.0,2.0,0.0,22.0,6.0,0.0,0.0,0.0,2.0,4.0,0.0,7.0,2.0,0.0,1.0,0.0
