year,state_name,state_alpha,week_ending,week,Excellent,Good,Fair,Poor,Very Poor
2023,KENTUCKY,KY,2023-05-28,21,13.0,63.0,19.0,4.0,1.0
2023,KENTUCKY,KY,2023-06-04,22,11.0,61.0,23.0,4.0,1.0
2023,KENTUCKY,KY,2023-06-11,23,10.0,57.0,26.0,6.0,1.0
2023,KENTUCKY,KY,2023-06-18,24,7.0,52.0,33.0,7.0,1.0
2023,KENTUCKY,KY,2023-06-25,25,6.0,54.0,32.0,7.0,1.0
2023,KENTUCKY,KY,2023-07-02,26,7.0,46.0,37.0,9.0,1.0
2023,KENTUCKY,KY,2023-07-09,27,10.0,43.0,37.0,8.0,2.0
2023,KENTUCKY,KY,2023-07-16,28,9.0,46.0,34.0,9.0,2.0
2023,KENTUCKY,KY,2023-07-23,29,9.0,53.0,30.0,6.0,2.0
2023,KENTUCKY,KY,2023-07-30,30,14.0,56.0,25.0,4.0,1.0
2023,KENTUCKY,KY,2023-08-06,31,14.0,56.0,25.0,4.0,1.0
2023,KENTUCKY,KY,2023-08-13,32,17.0,56.0,22.0,4.0,1.0
2023,KENTUCKY,KY,2023-08-20,33,17.0,55.0,23.0,4.0,1.0
2023,KENTUCKY,KY,2023-08-27,34,15.0,56.0,24.0,4.0,1.0
2023,KENTUCKY,KY,2023-09-03,35,16.0,55.0,24.0,4.0,1.0
2023,KENTUCKY,KY,2023-09-10,36,16.0,54.0,25.0,4.0,1.0
2023,KENTUCKY,KY,2023-09-17,37,18.0,54.0,23.0,4.0,1.0
2023,KENTUCKY,KY,2023-09-24,38,18.0,49.0,27.0,4.0,2.0
2023,KENTUCKY,KY,2023-10-01,39,16.0,53.0,25.0,5.0,1.0
2023,KENTUCKY,KY,2023-10-08,40,16.0,53.0,25.0,5.0,1.0
2023,KENTUCKY,KY,2023-10-15,41,16.0,53.0,25.0,5.0,1.0
