STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
MN,2015-04-24,-1.7072625698324024,4.325280898876405,10.385955056179776,0.8684331797235022,48.639229587877374,7.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
MN,2015-04-25,2.3312500000000003,6.937215909090909,11.543181818181818,4.013616071428571,64.8853632443921,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
MN,2015-04-26,-1.40625,6.928125,15.2625,0.0094059405940594,44.42265390464444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2015-04-27,-0.8287292817679558,8.765469613259668,18.35966850828729,0.0089108910891089,39.01643922389669,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
MN,2015-04-28,2.005524861878453,10.71132596685083,19.41712707182321,0.231615925058548,52.02947723823206,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2015-04-29,1.3617486338797813,10.128142076502732,18.89453551912568,0.0505910165484633,46.18324478668104,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2015-04-30,2.974585635359116,11.42513812154696,19.875690607734807,0.0042755344418052,43.17758485208523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MN,2015-05-01,5.264444444444445,12.91861111111111,20.572777777777777,0.75625,50.73440852798377,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2015-05-02,6.507344632768361,14.888418079096043,23.269491525423728,0.4451073985680191,49.98947421616909,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
MN,2015-05-03,8.591011235955056,16.92359550561798,25.256179775280906,0.9522352941176472,51.69594672972571,5.0,0.0,18.0,0.0,5.0,0.0,3.0,0.0,0.0
MN,2015-05-04,4.803888888888889,13.855277777777776,22.906666666666663,4.245887445887446,43.64185344326509,3.0,0.0,7.0,0.0,5.0,0.0,1.0,0.0,1.0
MN,2015-05-05,4.382417582417583,12.792307692307691,21.2021978021978,0.5474272930648769,44.29587267369854,8.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
MN,2015-05-06,8.871270718232044,14.936187845303866,21.00110497237569,1.28718487394958,72.67734376099799,29.0,4.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0
MN,2015-05-07,10.850555555555555,16.13,21.409444444444443,5.054969574036511,81.39282924046975,15.0,0.0,20.0,0.0,1.0,0.0,5.0,0.0,0.0
MN,2015-05-08,5.411666666666667,11.7025,17.993333333333336,9.983567134268537,78.2809439473287,10.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0
MN,2015-05-09,2.5937853107344635,8.149717514124294,13.705649717514126,0.0602469135802469,67.54560450204802,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MN,2015-05-10,4.025988700564972,8.940960451977402,13.85593220338983,1.911,69.81146352596187,9.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2015-05-11,4.020441988950276,7.214364640883978,10.40828729281768,18.937552742616035,89.34458943275062,17.0,0.0,17.0,0.0,0.0,0.0,5.0,0.0,0.0
MN,2015-05-12,1.8521978021978025,5.70412087912088,9.556043956043956,2.841598360655738,75.83667423994436,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MN,2015-05-13,2.3083798882681563,7.695530726256983,13.082681564245812,0.6181619256017505,63.25669669837956,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MN,2015-05-14,6.08659217877095,10.634078212290502,15.181564245810057,3.351028806584362,71.87153321386134,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2015-05-15,7.760674157303371,11.15252808988764,14.537430167597764,10.1876,85.71611256136755,28.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2015-05-16,7.849142857142857,13.400285714285715,18.94772727272728,1.1481572481572482,79.59221631348035,14.0,2.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0
MN,2015-05-17,9.957386363636363,16.09715909090909,22.236931818181816,13.60542299349241,82.58728264078725,16.0,2.0,26.0,0.0,0.0,0.0,7.0,0.0,1.0
MN,2015-05-18,2.522651933701657,9.590055248618784,16.65745856353591,11.763169164882228,80.49291271314243,13.0,0.0,10.0,2.0,1.0,0.0,6.0,0.0,1.0
MN,2015-05-19,0.0233333333333333,4.812777777777778,9.602222222222222,0.5733905579399141,65.07395079835491,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
MN,2015-05-20,0.651123595505618,7.9095505617977535,15.191620111731844,0.0032258064516129,54.152565047563925,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MN,2015-05-21,3.977966101694916,11.266666666666667,18.55536723163842,0.0006944444444444,45.78932880780231,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
MN,2015-05-22,3.2355555555555555,12.628888888888888,22.022222222222226,0.0,43.69633069626543,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MN,2015-05-23,6.787150837988827,15.063966480446926,23.34078212290503,0.034090909090909,49.98550507855735,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
MN,2015-05-24,9.86779661016949,16.075706214689266,22.28361581920904,1.128395061728395,65.80213452847242,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
