STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
ND,2014-01-01,-25.369662921348315,-22.25112359550561,-19.13258426966292,0.5177966101694915,75.92627446692809,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
ND,2014-01-02,-28.76344086021505,-21.83924731182796,-14.91505376344086,0.196694214876033,80.3058402778454,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2014-01-03,-22.8989010989011,-12.70054945054945,-2.502197802197802,0.3057851239669421,85.87570582589568,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
ND,2014-01-04,-22.085393258426965,-13.154494382022472,-4.223595505617977,0.8100840336134454,77.98637877566065,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2014-01-05,-28.991011235955053,-24.607865168539323,-20.2247191011236,0.056198347107438,69.30363644637133,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
ND,2014-01-06,-30.872826086956525,-26.63296703296703,-22.407692307692308,0.0550847457627118,69.61207218849071,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ND,2014-01-07,-27.22978723404255,-21.94468085106384,-16.659574468085108,0.3429752066115702,77.23445346626102,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ND,2014-01-08,-26.825531914893617,-20.18244680851064,-13.53936170212766,0.0308943089430894,78.08987465079343,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2014-01-09,-19.71208791208792,-12.001648351648353,-4.291208791208791,0.0122950819672131,84.20905135549012,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2014-01-10,-9.2010989010989,-4.874725274725275,-0.5483516483516483,0.0173553719008264,84.68748614266204,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ND,2014-01-11,-9.427586206896551,-4.242528735632185,0.942528735632184,0.0434426229508196,87.04748643610209,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2014-01-12,-7.644318181818182,-2.007386363636364,3.6295454545454544,0.171900826446281,79.76106204911623,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ND,2014-01-13,-11.27282608695652,-4.368681318681319,2.4637362637362634,0.146031746031746,83.94595772974286,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2014-01-14,-12.249473684210528,-7.156315789473685,-2.0631578947368423,0.4220472440944882,80.90096713364295,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2014-01-15,-15.002127659574468,-7.937765957446809,-0.873404255319149,0.1153225806451613,79.67237441201718,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
ND,2014-01-16,-12.672826086956524,-4.869021739130434,2.9347826086956523,0.4603305785123966,75.89449417997172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
ND,2014-01-17,-15.451086956521738,-9.632065217391304,-3.8130434782608695,0.1879032258064516,81.71907594524292,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ND,2014-01-18,-10.102247191011235,-4.17808988764045,1.746067415730337,0.6008264462809918,85.5815396876314,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2014-01-19,-6.128089887640449,-1.7679775280898875,2.5921348314606742,0.0042016806722689,81.08057542422007,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2014-01-20,-18.07078651685393,-9.060112359550562,-0.049438202247191,0.4752136752136752,81.30352672734217,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
ND,2014-01-21,-22.76483516483516,-15.3438202247191,-7.941573033707865,0.4108333333333333,80.4648969209525,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2014-01-22,-22.97608695652174,-15.545108695652177,-8.11413043478261,0.5475,78.03131343275382,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ND,2014-01-23,-26.676086956521736,-18.996739130434783,-11.317391304347826,0.0363636363636363,74.30007862257095,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ND,2014-01-24,-17.140860215053763,-7.866129032258064,1.4086021505376345,0.11,82.94646972886396,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2014-01-25,-11.990909090909092,-4.948863636363637,2.102222222222222,0.4213675213675213,79.90111317706855,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2014-01-26,-18.40674157303371,-10.005113636363635,-1.7227272727272729,1.822222222222222,82.58754868476667,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
ND,2014-01-27,-26.302150537634407,-19.81318681318681,-13.331868131868132,0.5478991596638656,69.95429075197349,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
