STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
TN,2014-01-01,-6.025165562913907,0.5804635761589403,7.186092715231787,0.0510964912280701,71.44939703846688,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2014-01-02,-5.392993630573248,1.84968152866242,9.10506329113924,5.153734439834024,80.66517876454529,9.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
TN,2014-01-03,-10.819745222929935,-3.974522292993631,2.8981012658227847,3.035930735930736,63.60333320828165,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2014-01-04,-9.709090909090907,-4.092857142857143,1.5233766233766233,0.0892543859649122,54.7119969761354,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2014-01-05,-4.755479452054794,2.0585616438356165,8.872602739726029,0.7885906040268457,76.19700650593744,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
TN,2014-01-06,-14.058823529411764,-3.263157894736842,7.515131578947368,8.640929203539823,70.29800311616302,3.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0
TN,2014-01-07,-18.4,-13.573225806451612,-8.746451612903225,0.1405286343612334,62.932571492362754,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
TN,2014-01-08,-15.694838709677418,-9.32483870967742,-2.95483870967742,0.0516268980477223,57.16660340978042,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
TN,2014-01-09,-7.865131578947368,-1.242763157894737,5.4071428571428575,0.429157667386609,65.40611957881883,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
TN,2014-01-10,-0.1844155844155844,4.556818181818182,9.298051948051947,3.49,85.30041161907641,9.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0
TN,2014-01-11,4.503289473684211,9.076490066225166,13.667549668874171,25.07348178137652,80.29810873596512,7.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0
TN,2014-01-12,-1.330263157894737,5.956953642384106,13.260264900662252,2.272406181015453,68.57465915037314,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
TN,2014-01-13,0.3052631578947369,6.3881578947368425,12.471052631578948,2.732558139534884,71.44190301135916,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2014-01-14,0.8535031847133758,6.025796178343949,11.19808917197452,15.847389558232932,75.30541186670749,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TN,2014-01-15,-2.568831168831169,4.013636363636364,10.596103896103896,0.4817796610169492,65.78635175277283,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2014-01-16,-7.87452229299363,-1.8780254777070065,4.118471337579618,0.2646420824295011,61.24915058657515,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2014-01-17,-5.690384615384616,0.5817307692307693,6.853846153846154,0.2639484978540772,61.8164599506057,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
TN,2014-01-18,-8.663087248322148,-2.52751677852349,3.608053691275168,0.1134657836644591,57.27795735857679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2014-01-19,-5.273684210526316,0.95,7.173684210526316,0.0418708240534521,56.58350289313722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2014-01-20,-1.6645833333333333,4.543749999999999,10.752083333333331,0.0011160714285714,53.19339006723924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2014-01-21,-3.881528662420382,4.5194267515923565,12.920382165605096,0.0676086956521739,67.0216737996496,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
TN,2014-01-22,-12.667973856209152,-5.723684210526316,1.256578947368421,0.4812903225806452,59.38050576539016,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TN,2014-01-23,-12.556687898089171,-7.235668789808917,-1.9146496815286629,0.0166311300639658,57.40852650628793,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TN,2014-01-24,-16.885987261146497,-10.597452229299362,-4.308917197452229,0.0012875536480686,53.50934141305985,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2014-01-25,-13.513245033112582,-6.398013245033113,0.7172185430463576,0.062363238512035,45.61996603891816,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
TN,2014-01-26,-7.672847682119205,0.5096026490066224,8.69205298013245,0.2197777777777778,53.91278389787189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2014-01-27,-6.849358974358975,2.899679487179488,12.648717948717948,0.0699779249448123,50.22563856069916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2014-01-28,-11.5656050955414,-6.551592356687897,-1.537579617834395,0.1479120879120879,52.25494491447472,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
TN,2014-01-29,-17.634415584415585,-11.691233766233768,-5.748051948051948,0.8409190371991248,55.44921412684131,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TN,2014-01-30,-16.598051948051946,-8.558116883116883,-0.5181818181818182,0.0072368421052631,52.26770472805124,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2014-01-31,-9.81233766233766,-1.6337662337662338,6.544805194805194,0.0051918735891647,48.302923425813454,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
TN,2014-02-01,-0.722972972972973,5.777027027027027,12.254362416107384,0.0070796460176991,55.2673627881106,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
