STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
NC,2011-01-01,0.9681528662420382,87.84810831678365,1.1371980676328504,15.048543689320388,8.098300970873787,36.0,10.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
NC,2011-01-02,7.427663934426229,89.9036924599963,3.630097087378641,15.59951690821256,9.585853658536584,39.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
NC,2011-01-03,1.1100858369098712,55.250066455653744,-4.2622641509433965,11.785781990521327,3.76350710900474,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2011-01-04,0.0808421052631579,66.44622377233257,-5.504265402843602,8.865402843601895,1.680568720379147,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2011-01-05,0.0794871794871794,70.11364800717968,-3.618571428571428,9.102857142857143,2.742142857142857,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0
NC,2011-01-06,1.843673469387755,76.38702968045537,-2.306603773584906,7.043601895734597,2.3656398104265404,33.0,2.0,0.0,0.0,0.0,3.0,5.0,1.0,8.0,1.0,0.0,9.0,0.0,2.0,1.0,0.0,2.0
NC,2011-01-07,0.4649159663865546,74.35919690817221,-2.261137440758294,6.740284360189574,2.23957345971564,17.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0
NC,2011-01-08,1.8202127659574467,71.3477431397042,-3.9695652173913047,5.559134615384616,0.7893719806763285,18.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,3.0,0.0,6.0,1.0,0.0,0.0
NC,2011-01-09,0.5132034632034632,43.64918844412156,-9.18095238095238,3.0770334928229666,-3.045933014354067,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2011-01-10,4.009429824561403,61.98650727930135,-6.947524752475248,0.7714285714285714,-3.0943069306930693,22.0,9.0,0.0,8.0,0.0,3.0,6.0,0.0,1.0,2.0,0.0,8.0,5.0,8.0,3.0,0.0,2.0
