STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
TN,2007-01-01,9.032802547770702,6.038926174496644,72.59060199700507,3.4853503184713377,14.580254777070063,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
TN,2007-01-02,4.55,0.0476510067114093,68.04628137040501,0.3,8.814465408805031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-03,4.711728395061728,0.4066225165562914,73.04794469494523,-2.2969135802469136,11.733742331288344,10.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
TN,2007-01-04,7.479938271604938,2.627814569536424,79.58952807847983,0.5808641975308642,14.38957055214724,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-05,12.4228125,22.481456953642383,86.5119003499956,7.22875,17.62111801242236,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-06,12.759375,2.273333333333333,82.26863115253101,7.852500000000001,17.66024844720497,10.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-07,10.672955974842766,9.35,88.86156082039112,6.064779874213836,15.281132075471698,12.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,9.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-08,6.6399390243902445,12.75472972972973,64.82068976894269,0.8786585365853659,12.376363636363635,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-09,3.539634146341464,0.9070967741935484,59.08298171242184,-0.7175757575757576,7.7908536585365855,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,4.0,0.0,0.0,1.0
TN,2007-01-10,1.5426829268292686,0.3241830065359477,57.10143074076567,-4.494512195121952,7.579878048780489,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-11,2.9378048780487807,0.0929487179487179,50.09295608616264,-3.354878048780488,9.230487804878049,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-12,8.477300613496933,0.1590909090909091,64.48300555535917,3.486503067484662,13.468098159509204,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-13,13.644551282051284,0.9826666666666668,77.55133588287171,10.048717948717949,17.240384615384617,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-14,15.619745222929938,4.021192052980132,77.38642539829662,11.754140127388537,19.485350318471337,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-15,14.103125,8.697315436241611,82.21506007746251,9.095625,19.110625,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-16,5.239570552147239,9.943708609271525,77.80761120717732,-1.4269938650306748,11.906134969325151,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0
TN,2007-01-17,-1.3243902439024389,0.4367741935483871,64.30099227061235,-4.246951219512195,1.5981707317073168,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TN,2007-01-18,0.8919254658385093,0.1448051948051948,69.21351328464597,-2.191925465838509,3.975776397515528,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,5.0,0.0,2.0,1.0,0.0,0.0
TN,2007-01-19,2.6030864197530863,0.0936305732484076,65.1613326668601,-0.9493827160493828,6.155555555555556,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-20,1.2503105590062114,0.3361842105263158,60.81677702275708,-3.6739130434782608,6.174534161490684,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-21,2.7626582278481013,12.349333333333334,76.21263515150119,-0.9664556962025316,6.491772151898735,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-22,4.505182926829268,9.043333333333331,83.95308701254143,1.967073170731707,7.043292682926829,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0
TN,2007-01-23,2.0549079754601225,0.239102564102564,70.74205182178329,-0.987116564417178,5.096932515337423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-24,0.6562111801242236,0.0,75.64500259060651,-3.973291925465839,5.285714285714286,10.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TN,2007-01-25,1.5575,0.0838709677419354,69.25395473438356,-3.5925,6.72111801242236,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
TN,2007-01-26,0.1698113207547169,0.0098684210526315,59.71765805209813,-6.49685534591195,6.84472049689441,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-27,3.593630573248408,0.0589403973509933,56.36956661572404,-4.000636942675159,11.187898089171975,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0
TN,2007-01-28,2.108860759493671,0.53,57.39206169239492,-5.19873417721519,9.413207547169812,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
TN,2007-01-29,-4.413888888888889,0.0437908496732026,53.56659189781643,-11.08641975308642,2.2586419753086417,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TN,2007-01-30,-2.3317610062893084,0.0,48.38727221599162,-8.733962264150943,4.070440251572327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2007-01-31,-3.827950310559006,0.1309677419354838,53.02871381205647,-11.409937888198758,3.754037267080746,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
TN,2007-02-01,-3.0711538461538463,1.8594405594405592,72.83465567699548,-7.740384615384615,1.5980769230769232,11.0,1.0,0.0,4.0,0.0,1.0,6.0,0.0,6.0,3.0,6.0,0.0,9.0,0.0,0.0,0.0
TN,2007-02-02,-0.5487341772151899,5.297183098591549,81.450649664709,-3.5348101265822787,2.439622641509434,10.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,7.0,2.0,5.0,0.0,8.0,0.0,0.0,0.0
TN,2007-02-03,-3.037341772151899,0.4079470198675496,57.442428991660485,-8.310759493670885,2.2360759493670885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TN,2007-02-04,-2.359872611464968,0.643046357615894,54.70475749765272,-7.741401273885351,3.021656050955414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
TN,2007-02-05,-4.295370370370371,0.0348684210526315,48.43107413626241,-8.977777777777778,0.387037037037037,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2007-02-06,-2.516772151898734,0.0058441558441558,45.172427394318966,-7.81392405063291,2.780379746835443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TN,2007-02-07,2.964012738853503,0.0033112582781456,57.542499917920175,-4.477707006369426,10.405732484076433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
